#OTUID	CN19Sc21_4_eDNA_JJ	CN19Sc11_7_eDNA_JJ	CN19Sc25_12_eDNA_JJ	CN19Sc22_8_eDNA_JJ	CN19Sc29_12_eDNA_RR	CN19Sc29_11_eDNA_RR	CN19Sc29_10_eDNA_RR	CN19Sc29_9_eDNA_RR	CN19Sc29_8_eDNA_RR	CN19Sc29_7_eDNA_RR	CN19Sc29_6_eDNA_RR	CN19Sc29_5_eDNA_RR	CN19Sc29_4_eDNA_RR	CN19Sc29_3_eDNA_RR	CN19Sc31_12_eDNA_RR	CN19Sc31_11_eDNA_RR	CN19Sc31_10_eDNA_RR	CN19Sc31_9_eDNA_RR	CN19Sc31_8_eDNA_RR	CN19Sc31_7_eDNA_RR	CN19Sc31_6_eDNA_RR	CN19Sc31_5_eDNA_RR	CN19Sc31_4_eDNA_RR	CN19Sc31_3_eDNA_RR	CN19Sc34_12_eDNA_RR	CN19Sc34_11_eDNA_RR	CN19Sc34_9_eDNA_RR	CN19Sc34_8_eDNA_RR	CN19Sc34_7_eDNA_RR	CN19Sc34_6_eDNA_RR	CN19Sc34_4_eDNA_RR	CN19Sc36_12_eDNA_RR	CN19Sc36_11_eDNA_RR	CN19Sc36_9_eDNA_RR	CN19Sc36_8_eDNA_RR	CN19Sc36_7_eDNA_RR	CN19Sc36_6_eDNA_RR	CN19Sc36_4_eDNA_RR	CN19Sc38_12_eDNA_RR	CN19Sc38_11_eDNA_RR	CN19Sc38_10_eDNA_RR	CN19Sc38_9_eDNA_RR	CN19Sc38_8_eDNA_RR	CN19Sc38_7_eDNA_RR	CN19Sc38_6_eDNA_RR	CN19Sc38_5_eDNA_RR	CN19Sc38_4_eDNA_RR	CN19Sc38_3_eDNA_RR	CN19Sc28_12_eDNA_RR	CN19Sc28_11_eDNA_RR	CN19Sc28_10_eDNA_RR	CN19Sc28_9_eDNA_RR	CN19Sc28_8_eDNA_RR	CN19Sc28_7_eDNA_RR	CN19Sc28_6_eDNA_RR	CN19Sc28_5_eDNA_RR	CN19Sc28_4_eDNA_RR	CN19Sc28_3_eDNA_RR	CN19Sc28_2_eDNA_RR	CN19Sc28_1_eDNA_RR	CN19Sc30_12_eDNA_RR	CN19Sc30_11_eDNA_RR	CN19Sc30_9_eDNA_RR	CN19Sc30_10_eDNA_RR	CN19Sc30_8_eDNA_RR	CN19Sc30_7_eDNA_RR	CN19Sc30_6_eDNA_RR	CN19Sc30_5_eDNA_RR	CN19Sc30_4_eDNA_RR	CN19Sc30_3_eDNA_RR	CN19Sc30_2_eDNA_RR	CN19Sc30_1_eDNA_RR	CN19Sc37_12_eDNA_RR	CN19Sc37_11_eDNA_RR	CN19Sc37_10_eDNA_RR	CN19Sc37_9_eDNA_RR	CN19Sc37_8_eDNA_RR	CN19Sc37_7_eDNA_RR	CN19Sc37_6_eDNA_RR	CN19Sc37_5_eDNA_RR	CN19Sc37_4_eDNA_RR	CN19Sc37_3_eDNA_RR	CN19Sc37_2_eDNA_RR	CN19Sc37_1_eDNA_RR	CN19Sc03_12_eDNA_JJ	CN19Sc03_10_eDNA_JJ	CN19Sc03_9_eDNA_JJ	CN19Sc03_7_eDNA_JJ	CN19Sc03_5_eDNA_JJ	CN19Sc03_4_eDNA_JJ	CN19Sc03_3_eDNA_JJ	CN19Sc10_12_eDNA_JJ	CN19Sc10_10_eDNA_JJ	CN19Sc10_9_eDNA_JJ	CN19Sc10_7_eDNA_JJ	CN19Sc10_5_eDNA_JJ	CN19Sc10_4_eDNA_JJ	CN19Sc10_3_eDNA_JJ	CN19Sc11_10_eDNA_JJ	CN19Sc11_5_eDNA_JJ	CN19Sc12_12_eDNA_JJ	CN19Sc12_10_eDNA_JJ	CN19Sc12_9_eDNA_JJ	CN19Sc12_7_eDNA_JJ	CN19Sc12_5_eDNA_JJ	CN19Sc12_4_eDNA_JJ	CN19Sc12_3_eDNA_JJ	CN19Sc13_10_eDNA_JJ	CN19Sc13_7_eDNA_JJ	CN19Sc13_5_eDNA_JJ	CN19Sc15_12_eDNA_JJ	CN19Sc15_10_eDNA_JJ	CN19Sc15_9_eDNA_JJ	CN19Sc15_7_eDNA_JJ	CN19Sc15_5_eDNA_JJ	CN19Sc15_4_eDNA_JJ	CN19Sc15_3_eDNA_JJ	CN19Sc16_10_eDNA_JJ	CN19Sc16_9_eDNA_JJ	CN19Sc16_5_eDNA_JJ	CN19Sc18_12_eDNA_JJ	CN19Sc18_10_eDNA_JJ	CN19Sc18_9_eDNA_JJ	CN19Sc18_8_eDNA_JJ	CN19Sc18_7_eDNA_JJ	CN19Sc18_5_eDNA_JJ	CN19Sc18_4_eDNA_JJ	CN19Sc18_3_eDNA_JJ	CN19Sc20_10_eDNA_JJ	CN19Sc20_9_eDNA_JJ	CN19Sc20_6_eDNA_JJ	CN19Sc21_12_eDNA_JJ	CN19Sc21_10_eDNA_JJ	CN19Sc21_9_eDNA_JJ	CN19Sc21_6_eDNA_JJ	CN19Sc21_5_eDNA_JJ	CN19Sc21_3_eDNA_JJ	CN19Sc23_10_eDNA_JJ	CN19Sc23_8_eDNA_JJ	CN19Sc23_6_eDNA_JJ	CN19Sc25_10_eDNA_JJ	CN19Sc25_9_eDNA_JJ	CN19Sc25_7_eDNA_JJ	CN19Sc25_6_eDNA_JJ	CN19Sc25_5_eDNA_JJ	CN19Sc25_4_eDNA_JJ	CN19Sc27_10_eDNA_JJ	CN19Sc27_6_eDNA_JJ	CN19Sc27_5_eDNA_JJ	CN19Sc22_4_eDNA_JJ	CN19Sc22_2_eDNA_JJ	CN19Sc39_01_eDNA_BI	CN19Sc39_02_eDNA_BI	CN19Sc39_03_eDNA_BI	CN19Sc39_04_eDNA_BI	CN19Sc39_05_eDNA_BI	CN19Sc39_06_eDNA_BI	CN19Sc39_07_eDNA_BI	CN19Sc39_09_eDNA_BI	CN19Sc39_10_eDNA_BI	CN19Sc39_11_eDNA_BI	CN19Sc39_01_eDNA_BJ	CN19Sc39_02_eDNA_BJ	CN19Sc39_03_eDNA_BJ	CN19Sc39_04_eDNA_BJ	CN19Sc39_05_eDNA_BJ	CN19Sc39_06_eDNA_BJ	CN19Sc39_07_eDNA_BJ	CN19Sc39_09_eDNA_BJ	CN19Sc39_10_eDNA_BJ	CN19Sc39_11_eDNA_BJ
ASV_2	1383	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	3	0	0	3	0	0	0	0	3
ASV_8	10939	12	4	3	11	0	5	3	3	2	5	1	10093	1	1	2	6	13	1	10	0	11	11	14692	2	9	3	6	0	0	14	9	4	1	4	28	4095	58	6	1	0	0	2	3435	11	1	5774	4	4	2	5660	866	62	8514	3	6	0	8	2	7099	1	4	2	9	53	222	1	1736	1	4	6911	3583	1	6	1835	1832	61	6833	3447	3244	0	10088	2700	3065	3	499	3	1	1832	7	3	0	1	3	1	2	9664	1167	1	505	0	15	4110	0	2232	63	2211	2541	0	1	4	2	47	8	12	0	4	4	7	2	0	71	6295	3622	6	14174	26411	41	7	1	5	13	11	2	7	7	8477	2032	4	25	5	0	5	1	52	2	53	5	5	2	1	2	0	13114	5	24	7575	5	7	7	6	1	1	14740	11	31	8050	7	6	12	3
ASV_10	4	1495	3	9	1	1	0	7	10	16	0	12	0	1	8	0	7107	0	1	0	7	17	504	2	2	0	14	3	8	0	1	14	13458	26	0	9	0	3	13	9757	4	11	3945	3	2	5	26479	27	0	3	0	9062	10	11872	1	4	1	0	4	19989	13	0	4644	1	3854	5	5	8	6656	0	5	0	0	0	1	4	4336	0	2813	1	6044	3	9	8	1	1001	1	108	5	0	2	2	3	7668	2	9	1	5	4990	2	14	15	2	7518	1	5	5	4	3	5	3	3	5146	5847	3	2	2	13551	9	5	3	1492	9120	5307	1	17	4	7	6	2	3	8451	12	5717	3	4	0	0	2	1	1	5	3	3	3	2	5	12031	3	0	2	5	11	14368	0	1	0	0	3	9	1	9	8	16228	0	2	1	1	0	6	5
ASV_11	0	1	1676	1	0	0	0	0	0	0	1	0	0	2	1	2185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1155	0	0	0	0	0	0	0	0	0	0	0	1	28	0	0	0	0	0	0	1	0	0	19	0	0	0	0	0	0	0	0	0	0	27	0	0	1	0	0	0	0	895	10	800	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	2	0	1	0	0	74	0	3	0	0	3246	0	0	0	0	1	0	0	0	0	0	3058	0	0	0	0	0	0	0	0	0	0	0	1	2	0	40	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13	0	0	0	0	0	2	0	6458	8	3	1	5447	0	3	1	1566	1	0	1	1104	4502	14660	2	1	1	1	2	6253	2	0	0	13	2053	1	1	0	0	1	1	0	1	1	0	5482	2	2	2	2	0	5	0	1687	4	2	0	0	1	0	53	4	4	706	3	0	2	1	4	3	3270	0	3823	44	3	1	2	2	921	0	3	0	1	2231	7793	3	0	238	0	5	3656	0	5	68	3598	0	7	7635	7	4	1	749	6	3	5048	1714	3048	1	0	1143	300	505	0	16717	24	4	9036	6	0	1	0	9	1	1	1	0	9	2	0	1	6	0	3550	2	0	5	2	1	11	2	0	1	1485	5	1	3	3584	0	1051	293	4463	2	5	0	2	4	2	1	4	0	10982	4001	11	1	6	14	4	1	6	1	12856	4633	12
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	1	3	762	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	949	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	1272	2915	0	0	4	0	0	0	0	1	0	2	0	1	1	1361	0	0	1	0	1	1	0	2	0	1	0	0	2	0	1	2	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6461	1	0	0	1	3	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	5	0
ASV_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
ASV_19	5	16763	9	16	0	0	0	2	0	0	0	0	0	0	0	1	12	0	0	0	1	0	0	0	2	0	6886	4	2	0	0	0	0	3	2996	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3390	3	4	3	0	3	2	4	9	4	1	0	0	102	12	1	3	183	0	3	5	7	0	1	7409	11	8	14316	5	2631	0	5	7	0	0	0	4	2	4	1	0	0	2	6	5	3	2	34	2	4	4	3	0	5361	6753	5	3	1	0	0	6	5	4	0	8	0	2	0	1	6	8	0	3	1	0	0	2	0	0	0	6	0	6	8	2	0
