"","SampleID","PC1","PC2","PC3","FilterID","target_gene","PlateID","library","local_time","time_label","SAMPLING_cruise","depth","SAMPLING_platform","SC","ESP","SAMPLING_station_number","SAMPLING_station","SAMPLING_bottle","decimalLongitude","decimalLatitude","sample_type","Plates","Markers","Status","Dewar_name","Sampling_method","replicate","SAMPLING_rdepth","project_name","nitrate","fluor","density","pressure","minimumDepthInMeters","maximumDepthInMeters","start_GMT","end_GMT","temp","salinity","sigmat","spice","diss_oxygen","PAR (umol/s/m2)","altitude","chlorophyll","bbp470 (count)","bbp650 (count)","SAMPLING_project","ESP_name","diel","month","day","hour","eventDate","time","time_since","year","jday","month_char","year_char","depth_bin"
"1","CN19Sc21_4_eDNA_JJ",-0.0940900115994343,0.0197803297269283,-0.0634797836221253,"CN19Sc21_04_eDNA",12,"JJ","JJ67","6/2/19 12:05","06-02 day","CN19S",400,"WESTERN FLYER",NA,"CTD",21,"MARS",4,-122.198,36.7125,"environmental","JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,401.098,"CANON",39.228,0.036,26.8375,404.471,NA,NA,NA,NA,6.6022,34.1876,NA,NA,NA,NA,NA,0.3996,NA,NA,NA,NA,"day",6,2,12,2019-06-02 19:05:00,2019-06-02 12:05:00,1559477100,2019,153,"6","2019","300-400m"
"2","CN19Sc11_7_eDNA_JJ",0.0153643791291923,-0.0862843751206064,-0.0442065871968242,"CN19Sc11_07_eDNA",12,"JJ","JJ19","5/31/19 18:11","05-31 transition","CN19S",150,"WESTERN FLYER",NA,"CTD",11,"MARS",7,-122.1982,36.7122,"environmental","JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,148.725,"CANON",26.221,0.0335,26.446,149.884,NA,NA,NA,NA,8.4801,34.0351,NA,NA,NA,NA,NA,0.3373,NA,NA,NA,NA,"transition",5,31,18,2019-06-01 01:11:00,2019-05-31 18:11:00,1559326260,2019,151,"5","2019","100-200m"
"3","CN19Sc25_12_eDNA_JJ",0.0506049626692913,0.0763696849415695,0.060301048729299,"CN19Sc25_12_eDNA",12,"JJ","JJ75","6/3/19 0:13","06-03 night","CN19S",0,"WESTERN FLYER",NA,"CTD",25,"MARS",12,-122.199,36.712,"environmental","JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,2.537,"CANON",0.062,0.1205,24.4459,2.556,NA,NA,NA,NA,13.4483,32.6008,NA,NA,NA,NA,NA,2.5133,NA,NA,NA,NA,"night",6,3,0,2019-06-03 07:13:00,2019-06-03 00:13:00,1559520780,2019,154,"6","2019","0-50m"
"4","CN19Sc22_8_eDNA_JJ",0.0375908748897705,0.0144318359542172,-0.0461941171246459,"CN19Sc22_08_eDNA",12,"JJ","JJ91","6/2/19 15:06","06-02 day","CN19S",55,"WESTERN FLYER",NA,"CTD",22,"OFFMARS_E",8,-122.164,36.7122,"environmental","JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,54.06,"CANON",24.515,0.0367,25.9331,54.468,NA,NA,NA,NA,9.9544,33.684,NA,NA,NA,NA,NA,0.4183,NA,NA,NA,NA,"day",6,2,15,2019-06-02 22:06:00,2019-06-02 15:06:00,1559487960,2019,153,"6","2019","50-100m"
"5","CN19Sc29_9_eDNA_RR",0.0203938086997139,-0.00420611673826128,0.158508654184894,"CN19Sc29_09_eDNA",12,"RR","RR4","6/3/19 12:04","06-03 day","CN19S",110,"WESTERN FLYER",NA,"CTD",29,"MARS",9,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,110.532,"CANON",25.319,0.0354,26.2664,111.383,NA,NA,NA,NA,9.14,33.9384,NA,NA,NA,NA,NA,0.3852,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","100-200m"
"6","CN19Sc29_8_eDNA_RR",0.10152200195054,0.028166181143159,0.00564210224251628,"CN19Sc29_08_eDNA",12,"RR","RR5","6/3/19 12:04","06-03 day","CN19S",165,"WESTERN FLYER",NA,"CTD",29,"MARS",8,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,165.27,"CANON",27.642,0.0354,26.4198,166.564,NA,NA,NA,NA,8.5266,34.0104,NA,NA,NA,NA,NA,0.3852,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","100-200m"
"7","CN19Sc29_5_eDNA_RR",0.0655620720614221,0.00364523995586754,0.158842053879419,"CN19Sc29_05_eDNA",12,"RR","RR8","6/3/19 12:04","06-03 day","CN19S",300,"WESTERN FLYER",NA,"CTD",29,"MARS",5,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,299.558,"CANON",34.071,0.035,26.7137,302.003,NA,NA,NA,NA,7.2047,34.1359,NA,NA,NA,NA,NA,0.3746,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","200-300m"
"8","CN19Sc29_4_eDNA_RR",-0.0912485943649976,-0.0212920727903464,-0.0275993450097691,"CN19Sc29_04_eDNA",12,"RR","RR9","6/3/19 12:04","06-03 day","CN19S",400,"WESTERN FLYER",NA,"CTD",29,"MARS",4,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,399.462,"CANON",36.655,0.0362,26.8472,402.819,NA,NA,NA,NA,6.4632,34.1768,NA,NA,NA,NA,NA,0.4064,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","300-400m"
"9","CN19Sc29_3_eDNA_RR",0.080296718868275,0.0817863246043724,-0.0178446898112375,"CN19Sc29_03_eDNA",12,"RR","RR10","6/3/19 12:04","06-03 day","CN19S",500,"WESTERN FLYER",NA,"CTD",29,"MARS",3,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,500.001,"CANON",39.478,0.0366,26.9586,504.326,NA,NA,NA,NA,5.9391,34.2316,NA,NA,NA,NA,NA,0.4158,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","400-500m"
"10","CN19Sc31_12_eDNA_RR",0.116291257739893,0.0341206269483161,-0.0308879111568447,"CN19Sc31_12_eDNA",12,"RR","RR14","6/3/19 18:05","06-03 transition","CN19S",0,"WESTERN FLYER",NA,"CTD",31,"MARS",12,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,2.194,"CANON",0.241,0.0726,23.9503,2.21,NA,NA,NA,NA,14.3193,32.1897,NA,NA,NA,NA,NA,1.3153,NA,NA,NA,NA,"transition",6,3,18,2019-06-04 01:05:00,2019-06-03 18:05:00,1559585100,2019,154,"6","2019","0-50m"
