#SampleID	SAMPLING_cruise	depth	ESP	SAMPLING_station	SC	SAMPLING_station_number	diel
CN19Sc10_3_eDNA_JJ	CN19S	500	NA	MARS	NA	10	day
CN19Sc10_4_eDNA_JJ	CN19S	400	NA	MARS	NA	10	day
CN19Sc10_5_eDNA_JJ	CN19S	285	NA	MARS	NA	10	day
CN19Sc10_7_eDNA_JJ	CN19S	150	NA	MARS	NA	10	day
CN19Sc10_9_eDNA_JJ	CN19S	80	NA	MARS	NA	10	day
CN19Sc10_10_eDNA_JJ	CN19S	50	NA	MARS	NA	10	day
CN19Sc10_12_eDNA_JJ	CN19S	0	NA	MARS	NA	10	day
CN19Sc15_4_eDNA_JJ	CN19S	400	NA	MARS	NA	15	day
CN19Sc15_3_eDNA_JJ	CN19S	500	NA	MARS	NA	15	day
CN19Sc15_12_eDNA_JJ	CN19S	0	NA	MARS	NA	15	day
CN19Sc15_10_eDNA_JJ	CN19S	45	NA	MARS	NA	15	day
CN19Sc15_9_eDNA_JJ	CN19S	80	NA	MARS	NA	15	day
CN19Sc15_7_eDNA_JJ	CN19S	150	NA	MARS	NA	15	day
CN19Sc15_5_eDNA_JJ	CN19S	280	NA	MARS	NA	15	day
CN19Sc21_3_eDNA_JJ	CN19S	500	NA	MARS	NA	21	day
CN19Sc21_9_eDNA_JJ	CN19S	80	NA	MARS	NA	21	day
CN19Sc21_4_eDNA_JJ	CN19S	400	NA	MARS	NA	21	day
CN19Sc21_5_eDNA_JJ	CN19S	300	NA	MARS	NA	21	day
CN19Sc21_10_eDNA_JJ	CN19S	55	NA	MARS	NA	21	day
CN19Sc21_12_eDNA_JJ	CN19S	0	NA	MARS	NA	21	day
CN19Sc21_6_eDNA_JJ	CN19S	250	NA	MARS	NA	21	day
CN19Sc22_2_eDNA_JJ	CN19S	250	NA	OFFMARS_E	NA	22	day
CN19Sc22_4_eDNA_JJ	CN19S	115	NA	OFFMARS_E	NA	22	day
CN19Sc22_8_eDNA_JJ	CN19S	55	NA	OFFMARS_E	NA	22	day
CN19Sc28_12_eDNA_RR	CN19S	0	NA	OFFMARS_E	NA	28	day
CN19Sc28_2_eDNA_RR	CN19S	245	NA	OFFMARS_E	NA	28	day
CN19Sc28_3_eDNA_RR	CN19S	200	NA	OFFMARS_E	NA	28	day
CN19Sc28_4_eDNA_RR	CN19S	165	NA	OFFMARS_E	NA	28	day
CN19Sc28_5_eDNA_RR	CN19S	150	NA	OFFMARS_E	NA	28	day
CN19Sc28_6_eDNA_RR	CN19S	110	NA	OFFMARS_E	NA	28	day
CN19Sc28_7_eDNA_RR	CN19S	100	NA	OFFMARS_E	NA	28	day
CN19Sc28_8_eDNA_RR	CN19S	60	NA	OFFMARS_E	NA	28	day
CN19Sc28_9_eDNA_RR	CN19S	50	NA	OFFMARS_E	NA	28	day
CN19Sc28_11_eDNA_RR	CN19S	25	NA	OFFMARS_E	NA	28	day
CN19Sc28_1_eDNA_RR	CN19S	300	NA	OFFMARS_E	NA	28	day
CN19Sc28_10_eDNA_RR	CN19S	40	NA	OFFMARS_E	NA	28	day
CN19Sc29_12_eDNA_RR	CN19S	0	NA	MARS	NA	29	day
CN19Sc29_4_eDNA_RR	CN19S	400	NA	MARS	NA	29	day
CN19Sc29_11_eDNA_RR	CN19S	40	NA	MARS	NA	29	day
CN19Sc29_10_eDNA_RR	CN19S	80	NA	MARS	NA	29	day
CN19Sc29_9_eDNA_RR	CN19S	110	NA	MARS	NA	29	day
CN19Sc29_8_eDNA_RR	CN19S	165	NA	MARS	NA	29	day
CN19Sc29_7_eDNA_RR	CN19S	200	NA	MARS	NA	29	day
CN19Sc29_3_eDNA_RR	CN19S	500	NA	MARS	NA	29	day
CN19Sc29_5_eDNA_RR	CN19S	300	NA	MARS	NA	29	day
CN19Sc29_6_eDNA_RR	CN19S	245	NA	MARS	NA	29	day
CN19Sc30_1_eDNA_RR	CN19S	300	NA	OFFMARS_E	NA	30	day
CN19Sc30_2_eDNA_RR	CN19S	245	NA	OFFMARS_E	NA	30	day
CN19Sc30_3_eDNA_RR	CN19S	200	NA	OFFMARS_E	NA	30	day
CN19Sc30_4_eDNA_RR	CN19S	165	NA	OFFMARS_E	NA	30	day
CN19Sc30_5_eDNA_RR	CN19S	150	NA	OFFMARS_E	NA	30	day
CN19Sc30_6_eDNA_RR	CN19S	110	NA	OFFMARS_E	NA	30	day
CN19Sc30_7_eDNA_RR	CN19S	100	NA	OFFMARS_E	NA	30	day
CN19Sc30_8_eDNA_RR	CN19S	60	NA	OFFMARS_E	NA	30	day
CN19Sc30_10_eDNA_RR	CN19S	40	NA	OFFMARS_E	NA	30	day
CN19Sc30_9_eDNA_RR	CN19S	50	NA	OFFMARS_E	NA	30	day
CN19Sc30_11_eDNA_RR	CN19S	25	NA	OFFMARS_E	NA	30	day
CN19Sc30_12_eDNA_RR	CN19S	0	NA	OFFMARS_E	NA	30	day
CN19Sc37_8_eDNA_RR	CN19S	50	NA	OFFMARS_E	NA	37	day
CN19Sc37_7_eDNA_RR	CN19S	75	NA	OFFMARS_E	NA	37	day
CN19Sc37_6_eDNA_RR	CN19S	100	NA	OFFMARS_E	NA	37	day
CN19Sc37_5_eDNA_RR	CN19S	130	NA	OFFMARS_E	NA	37	day
CN19Sc37_4_eDNA_RR	CN19S	150	NA	OFFMARS_E	NA	37	day
CN19Sc37_3_eDNA_RR	CN19S	200	NA	OFFMARS_E	NA	37	day
CN19Sc37_2_eDNA_RR	CN19S	250	NA	OFFMARS_E	NA	37	day
CN19Sc37_10_eDNA_RR	CN19S	25	NA	OFFMARS_E	NA	37	day
CN19Sc37_11_eDNA_RR	CN19S	10	NA	OFFMARS_E	NA	37	day
CN19Sc37_12_eDNA_RR	CN19S	0	NA	OFFMARS_E	NA	37	day
CN19Sc37_9_eDNA_RR	CN19S	40	NA	OFFMARS_E	NA	37	day
CN19Sc37_1_eDNA_RR	CN19S	300	NA	OFFMARS_E	NA	37	day
CN19Sc38_7_eDNA_RR	CN19S	200	NA	MARS	NA	38	day
CN19Sc38_8_eDNA_RR	CN19S	130	NA	MARS	NA	38	day
CN19Sc38_12_eDNA_RR	CN19S	0	NA	MARS	NA	38	day
CN19Sc38_11_eDNA_RR	CN19S	50	NA	MARS	NA	38	day
CN19Sc38_10_eDNA_RR	CN19S	75	NA	MARS	NA	38	day
CN19Sc38_3_eDNA_RR	CN19S	500	NA	MARS	NA	38	day
CN19Sc38_4_eDNA_RR	CN19S	400	NA	MARS	NA	38	day
