#OTUID	CN19Sc25_12_eDNA_JJ	CN19Sc34_12_eDNA_RR	CN19Sc34_11_eDNA_RR	CN19Sc34_9_eDNA_RR	CN19Sc34_8_eDNA_RR	CN19Sc34_7_eDNA_RR	CN19Sc34_6_eDNA_RR	CN19Sc34_4_eDNA_RR	CN19Sc03_12_eDNA_JJ	CN19Sc03_10_eDNA_JJ	CN19Sc03_9_eDNA_JJ	CN19Sc03_7_eDNA_JJ	CN19Sc03_5_eDNA_JJ	CN19Sc03_4_eDNA_JJ	CN19Sc03_3_eDNA_JJ	CN19Sc12_12_eDNA_JJ	CN19Sc12_10_eDNA_JJ	CN19Sc12_9_eDNA_JJ	CN19Sc12_7_eDNA_JJ	CN19Sc12_5_eDNA_JJ	CN19Sc12_4_eDNA_JJ	CN19Sc12_3_eDNA_JJ	CN19Sc18_12_eDNA_JJ	CN19Sc18_10_eDNA_JJ	CN19Sc18_9_eDNA_JJ	CN19Sc18_8_eDNA_JJ	CN19Sc18_7_eDNA_JJ	CN19Sc18_5_eDNA_JJ	CN19Sc18_4_eDNA_JJ	CN19Sc18_3_eDNA_JJ	CN19Sc25_10_eDNA_JJ	CN19Sc25_9_eDNA_JJ	CN19Sc25_7_eDNA_JJ	CN19Sc25_6_eDNA_JJ	CN19Sc25_5_eDNA_JJ	CN19Sc25_4_eDNA_JJ
ASV_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	4	2	9	3	6	0	0	14	3	499	3	1	1832	7	3	0	15	4110	0	2232	63	2211	0	71	6295	3622	6	14174	26411	41	5	0	5	1	52	2
ASV_10	3	2	0	14	3	8	0	1	1	1001	1	108	5	0	2	14	15	2	7518	1	5	5	3	1492	9120	5307	1	17	4	7	1	5	3	3	3	2
ASV_11	1676	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3246	0	0	0	0	1	0	0	0	0	0	1	2	0
ASV_13	0	1	1	2	6253	2	0	0	0	238	0	5	3656	0	5	6	3	5048	1714	3048	1	0	1	1	1	0	9	2	0	1	1485	5	1	3	3584	0
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ASV_16	762	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	1	1	2	0	1	2	0	0	1	0	0	1	0	0	0	0
ASV_19	9	2	0	6886	4	2	0	0	1	3390	3	4	3	0	3	1	3	183	0	3	5	7	0	4	2	4	1	0	0	2	5	3	1	0	0	6
ASV_20	0	0	0	0	1	0	0	1	1	1	0	9	0	0	3	0	0	0	0	1	52	0	0	3	2	0	5	0	0	2	2	0	0	0	0	1
ASV_21	907	0	2	0	1	0	0	1	6	148	7175	3303	4	42	8	3426	9	6	5	3	13	10438	2	4	3	5	3	4	1	4	16	2	2	8	9	8597
ASV_23	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_27	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	6	3	2	0	0	1	0	1	1	3	3	3	6491	1	2	3	1638	3	2	8	6960	2982	0	1820	18	4784	3	19	140	2	514	4	2	2	7	5
ASV_30	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	2403	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_33	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2954	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3
ASV_41	0	1004	0	0	4	0	0	0	8	0	0	0	1	2	0	3	2	0	0	0	0	0	764	0	0	0	0	0	2	0	0	0	3	0	2	0
ASV_43	3	0	2	0	0	0	0	2	0	1	13	3	0	0	12	11	3	0	0	0	0	17	0	0	0	1	0	0	1	0	0	0	1	0	0	9
ASV_45	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_50	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3839	0	0	0	0	0	0
ASV_54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7909	0	0	0	0	0	0
ASV_61	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6093	2	1	0	0	0	0	0	0	0	1
ASV_62	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	3	0	0	0	0	4064	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_68	2	0	0	0	2	4	0	0	0	0	1	2849	0	0	4	0	3	3683	2	0	3	1	0	0	0	3	1	0	0	1	1	0	0	2	0	0
ASV_70	849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4527	1	0	1	0	0
ASV_78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1
ASV_87	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_99	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ASV_117	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	2	0	0	0	3	0	14	1	0	10	8	0	0	0	1	1	8308	0
ASV_125	0	0	0	0	0	0	0	0	2	0	0	1	0	16	28863	0	0	7	2	0	0	0	2	0	0	0	0	0	4	1860	0	0	0	15	3	0
ASV_135	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	6	0	0	0	0	0
ASV_162	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0
ASV_163	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	3	0	1	0	9	3	1	0	0	0	0	6	4	0	0	3	18	0	0	0	0
ASV_191	1	0	0	0	0	0	0	0	0	1	4	3	0	1	1	8	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	20
ASV_223	0	0	0	0	0	0	0	0	0	2285	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_232	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_245	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	10	0	0	4299	3	0	10	31	7040	0	0	0	1	2	0
ASV_254	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_270	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
