#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_2	Eukaryota	Chordata	Actinopteri	Gadiformes	Macrouridae	Coryphaenoides	unassigned
ASV_8	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_10	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_11	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sardinops	Sardinops melanostictus
ASV_13	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Diaphus	Diaphus theta
ASV_15	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	unassigned	unassigned
ASV_16	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sardinops	Sardinops melanostictus
ASV_19	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Lipolagus	Lipolagus ochotensis
ASV_20	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	Citharichthys sordidus
ASV_21	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_23	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sardinops	Sardinops melanostictus
ASV_27	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_28	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_30	Eukaryota	Chordata	Actinopteri	Carangiformes	Carangidae	Trachurus	Trachurus symmetricus
ASV_33	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Microstomus	Microstomus pacificus
ASV_41	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_43	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_45	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Molidae	Mola	unassigned
ASV_50	Eukaryota	Chordata	Actinopteri	Beryciformes	Melamphaidae	Scopelogadus	s_
ASV_54	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Pseudobathylagus	Pseudobathylagus milleri
ASV_61	Eukaryota	Chordata	Actinopteri	Scombriformes	Centrolophidae	Icichthys	Icichthys lockingtoni
ASV_62	Eukaryota	Chordata	Actinopteri	unknown	Sciaenidae	Genyonemus	Genyonemus lineatus
ASV_68	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	unassigned
ASV_70	Eukaryota	Chordata	Actinopteri	Lampriformes	Trachipteridae	Trachipterus	unassigned
ASV_78	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	Citharichthys stigmaeus
ASV_87	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	Sebastes paucispinis
ASV_99	Eukaryota	Chordata	Actinopteri	Scombriformes	Stromateidae	Peprilus	Peprilus medius
ASV_117	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_125	Eukaryota	Chordata	Actinopteri	Stomiiformes	Gonostomatidae	Cyclothone	Cyclothone acclinidens
ASV_135	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_162	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Lyopsetta	Lyopsetta exilis
ASV_163	Eukaryota	Chordata	Chondrichthyes	Chimaeriformes	Chimaeridae	Hydrolagus	Hydrolagus colliei
ASV_191	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_223	Eukaryota	Chordata	Actinopteri	Argentiniformes	Argentinidae	g_	s_
ASV_232	Eukaryota	Chordata	Actinopteri	Beloniformes	Belonidae	Cololabis	Cololabis saira
ASV_245	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
