"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_8",-0.0855411397536968,0.474220028547892,0.143638745882747,"ASV_8","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Stenobrachius","Stenobrachius leucopsarus"
"2","ASV_10",0.117213188468757,0.184646303757321,0.138400146695091,"ASV_10","Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus","Leuroglossus schmidti"
"3","ASV_11",0.0900223776205769,-0.103240513801946,-0.0831561007390781,"ASV_11","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinops","Sardinops melanostictus"
"4","ASV_13",-0.396514031339394,0.0697628978647593,-0.0274564916782365,"ASV_13","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Diaphus","Diaphus theta"
"5","ASV_16",-0.0926079555389682,-0.204641199774362,-0.116858230245604,"ASV_16","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinops","Sardinops melanostictus"
"6","ASV_19",-0.126889707773179,-0.0378772480730009,-0.0111719054248009,"ASV_19","Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Lipolagus","Lipolagus ochotensis"
"7","ASV_20",0.0764823876446617,-0.0723711443595466,0.037496612971902,"ASV_20","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys sordidus"
"8","ASV_21",-0.0288049230901111,-0.319775973460138,0.487649908852341,"ASV_21","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","unassigned"
"9","ASV_23",0.0587403745597922,-0.0910897658619618,0.0559627017798762,"ASV_23","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinops","Sardinops melanostictus"
"10","ASV_28",0.084181999462193,0.254900906842516,0.3222626798032,"ASV_28","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Stenobrachius","Stenobrachius leucopsarus"
"11","ASV_30",0.0344292840869632,0.073940636591478,0.00337803209073938,"ASV_30","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"12","ASV_33",-0.191208100142302,0.0514147629063843,-0.154537314899047,"ASV_33","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus pacificus"
"13","ASV_41",0.163470443462117,-0.0925644673529861,-0.0907803850277324,"ASV_41","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","unassigned"
"14","ASV_43",0.022998568419646,-0.0904706833338941,-0.0235199232112785,"ASV_43","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","unassigned"
"15","ASV_50",0.189934469708128,-0.02501351765362,-0.00443895157381723,"ASV_50","Eukaryota","Chordata","Actinopteri","Beryciformes","Melamphaidae","Scopelogadus","s_"
"16","ASV_54",0.183865969938031,0.0178546174044759,-0.071849550305549,"ASV_54","Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Pseudobathylagus","Pseudobathylagus milleri"
"17","ASV_61",0.00391512672304203,0.105696772650075,0.0245142812295132,"ASV_61","Eukaryota","Chordata","Actinopteri","Scombriformes","Centrolophidae","Icichthys","Icichthys lockingtoni"
"18","ASV_62",-0.0752940567672201,-0.1043168820216,0.22299444500601,"ASV_62","Eukaryota","Chordata","Actinopteri","unknown","Sciaenidae","Genyonemus","Genyonemus lineatus"
"19","ASV_68",-0.121474960021921,-0.0914887266043427,-0.0232090690802208,"ASV_68","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","unassigned"
