"","SampleID","PC1","PC2","PC3","FilterID","target_gene","PlateID","library","local_time","time_label","SAMPLING_cruise","depth","SAMPLING_platform","SC","ESP","SAMPLING_station_number","SAMPLING_station","SAMPLING_bottle","decimalLongitude","decimalLatitude","sample_type","Plates","Markers","Status","Dewar_name","Sampling_method","replicate","SAMPLING_rdepth","project_name","nitrate","fluor","density","pressure","minimumDepthInMeters","maximumDepthInMeters","start_GMT","end_GMT","temp","salinity","sigmat","spice","diss_oxygen","PAR (umol/s/m2)","altitude","chlorophyll","bbp470 (count)","bbp650 (count)","SAMPLING_project","ESP_name","diel","month","day","hour","eventDate","time","time_since","year","jday","month_char","year_char","depth_bin"
"1","CN19Sc25_12_eDNA_JJ",-0.0270053748820872,-0.29497409398747,0.0481392709118763,"CN19Sc25_12_eDNA",12,"JJ","JJ75","6/3/19 0:13","06-03 night","CN19S",0,"WESTERN FLYER",NA,"CTD",25,"MARS",12,-122.199,36.712,"environmental","JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,2.537,"CANON",0.062,0.1205,24.4459,2.556,NA,NA,NA,NA,13.4483,32.6008,NA,NA,NA,NA,NA,2.5133,NA,NA,NA,NA,"night",6,3,0,2019-06-03 07:13:00,2019-06-03 00:13:00,1559520780,2019,154,"6","2019","0-50m"
"2","CN19Sc34_12_eDNA_RR",0.161590870950813,-0.114648361301535,-0.131845786348052,"CN19Sc34_12_eDNA",12,"RR","RR26","6/4/19 0:07","06-04 night","CN19S",0,"WESTERN FLYER",NA,"CTD",34,"MARS",12,-122.1988,36.7125,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,3.353,"CANON",0.098,0.0844,24.2764,3.377,NA,NA,NA,NA,13.6788,32.4416,NA,NA,NA,NA,NA,1.6093,NA,NA,NA,NA,"night",6,4,0,2019-06-04 07:07:00,2019-06-04 00:07:00,1559606820,2019,155,"6","2019","0-50m"
"3","CN19Sc34_9_eDNA_RR",0.00503273345397369,-0.15857775346787,-0.0788386198857218,"CN19Sc34_09_eDNA",12,"RR","RR28","6/4/19 0:07","06-04 night","CN19S",100,"WESTERN FLYER",NA,"CTD",34,"MARS",9,-122.1988,36.7125,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,101.026,"CANON",24.879,0.0354,26.2082,101.802,NA,NA,NA,NA,9.2853,33.894,NA,NA,NA,NA,NA,0.3846,NA,NA,NA,NA,"night",6,4,0,2019-06-04 07:07:00,2019-06-04 00:07:00,1559606820,2019,155,"6","2019","50-100m"
"4","CN19Sc34_8_eDNA_RR",-0.185714913600101,-0.0210393435048566,-0.211029249866806,"CN19Sc34_08_eDNA",12,"RR","RR29","6/4/19 0:07","06-04 night","CN19S",125,"WESTERN FLYER",NA,"CTD",34,"MARS",8,-122.1988,36.7125,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,123.278,"CANON",27.585,0.0354,26.3016,124.23,NA,NA,NA,NA,9.0022,33.955,NA,NA,NA,NA,NA,0.3852,NA,NA,NA,NA,"night",6,4,0,2019-06-04 07:07:00,2019-06-04 00:07:00,1559606820,2019,155,"6","2019","100-200m"
"5","CN19Sc34_4_eDNA_RR",-0.258648544772754,-0.0392709548824625,-0.334258996403845,"CN19Sc34_04_eDNA",12,"RR","RR33","6/4/19 0:07","06-04 night","CN19S",400,"WESTERN FLYER",NA,"CTD",34,"MARS",4,-122.1988,36.7125,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,399.492,"CANON",38.189,0.0365,26.8261,402.85,NA,NA,NA,NA,6.5574,34.1657,NA,NA,NA,NA,NA,0.4121,NA,NA,NA,NA,"night",6,4,0,2019-06-04 07:07:00,2019-06-04 00:07:00,1559606820,2019,155,"6","2019","300-400m"
"6","CN19Sc03_10_eDNA_JJ",-0.263162944492791,0.0788873783275679,0.180329306264919,"CN19Sc03_10_eDNA",12,"JJ","JJ2","5/30/19 23:12","05-30 night","CN19S",40,"WESTERN FLYER",NA,"CTD",3,"MARS",10,-122.1972,36.7203,"environmental","JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,40.142,"CANON",18.74,0.0391,25.7698,40.444,NA,NA,NA,NA,10.3123,33.5529,NA,NA,NA,NA,NA,0.4768,NA,NA,NA,NA,"night",5,30,23,2019-05-31 06:12:00,2019-05-30 23:12:00,1559257920,2019,150,"5","2019","0-50m"
"7","CN19Sc03_9_eDNA_JJ",-0.0194939438777172,-0.191299153137395,0.225758837716872,"CN19Sc03_09_eDNA",12,"JJ","JJ3","5/30/19 23:12","05-30 night","CN19S",80,"WESTERN FLYER",NA,"CTD",3,"MARS",9,-122.1972,36.7203,"environmental","JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,80.528,"CANON",25.593,0.0333,26.174,81.142,NA,NA,NA,NA,9.3859,33.8715,NA,NA,NA,NA,NA,0.331,NA,NA,NA,NA,"night",5,30,23,2019-05-31 06:12:00,2019-05-30 23:12:00,1559257920,2019,150,"5","2019","50-100m"
"8","CN19Sc03_7_eDNA_JJ",0.112373732525124,-0.342282982791108,0.211843192330695,"CN19Sc03_07_eDNA",12,"JJ","JJ4","5/30/19 23:12","05-30 night","CN19S",150,"WESTERN FLYER",NA,"CTD",3,"MARS",7,-122.1972,36.7203,"environmental","JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,149.85,"CANON",29.195,0.0331,26.4123,151.018,NA,NA,NA,NA,8.5976,34.0151,NA,NA,NA,NA,NA,0.3273,NA,NA,NA,NA,"night",5,30,23,2019-05-31 06:12:00,2019-05-30 23:12:00,1559257920,2019,150,"5","2019","100-200m"
"9","CN19Sc03_5_eDNA_JJ",-0.181103649953844,0.268616507056945,0.11818525571267,"CN19Sc03_05_eDNA",12,"JJ","JJ5","5/30/19 23:12","05-30 night","CN19S",250,"WESTERN FLYER",NA,"CTD",3,"MARS",5,-122.1972,36.7203,"environmental","JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,249.115,"CANON",33.498,0.0345,26.6529,251.117,NA,NA,NA,NA,7.4106,34.0962,NA,NA,NA,NA,NA,0.3622,NA,NA,NA,NA,"night",5,30,23,2019-05-31 06:12:00,2019-05-30 23:12:00,1559257920,2019,150,"5","2019","200-300m"
"10","CN19Sc03_4_eDNA_JJ",-0.173332545250866,-0.184606726995412,-0.147035922432366,"CN19Sc03_04_eDNA",12,"JJ","JJ6","5/30/19 23:12","05-30 night","CN19S",300,"WESTERN FLYER",NA,"CTD",3,"MARS",4,-122.1972,36.7203,"environmental","JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,300.149,"CANON",35.399,0.0336,26.713,302.599,NA,NA,NA,NA,7.1294,34.1217,NA,NA,NA,NA,NA,0.3398,NA,NA,NA,NA,"night",5,30,23,2019-05-31 06:12:00,2019-05-30 23:12:00,1559257920,2019,150,"5","2019","200-300m"
"11","CN19Sc03_3_eDNA_JJ",0.0965346424874848,-0.0874209509390175,-0.310189223728793,"CN19Sc03_03_eDNA",12,"JJ","JJ7","5/30/19 23:12","05-30 night","CN19S",400,"WESTERN FLYER",NA,"CTD",3,"MARS",3,-122.1972,36.7203,"environmental","JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,399.762,"CANON",37.979,0.0339,26.8703,403.122,NA,NA,NA,NA,6.3242,34.1831,NA,NA,NA,NA,NA,0.346,NA,NA,NA,NA,"night",5,30,23,2019-05-31 06:12:00,2019-05-30 23:12:00,1559257920,2019,150,"5","2019","300-400m"
"12","CN19Sc12_12_eDNA_JJ",0.024159173790656,-0.323613127264384,0.157568595629471,"CN19Sc12_12_eDNA",12,"JJ","JJ21","6/1/19 0:11","06-01 night","CN19S",0,"WESTERN FLYER",NA,"CTD",12,"MARS",12,-122.1983,36.712,"environmental","JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,2.599,"CANON",3.748,0.1263,24.9674,2.618,NA,NA,NA,NA,12.6176,33.063,NA,NA,NA,NA,NA,2.6572,NA,NA,NA,NA,"night",6,1,0,2019-06-01 07:11:00,2019-06-01 00:11:00,1559347860,2019,152,"6","2019","0-50m"
"13","CN19Sc12_10_eDNA_JJ",0.193345596970224,0.155765463543139,0.0895329140726558,"CN19Sc12_10_eDNA",12,"JJ","JJ22","6/1/19 0:11","06-01 night","CN19S",45,"WESTERN FLYER",NA,"CTD",12,"MARS",10,-122.1983,36.712,"environmental","JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,44.66,"CANON",18.18,0.045,25.783,44.996,NA,NA,NA,NA,10.1496,33.5342,NA,NA,NA,NA,NA,0.6251,NA,NA,NA,NA,"night",6,1,0,2019-06-01 07:11:00,2019-06-01 00:11:00,1559347860,2019,152,"6","2019","0-50m"
