#OTUID	per_tot	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_50	99.92323353693135	Eukaryota	Chordata	Actinopteri	Beryciformes	Melamphaidae	Scopelogadus	s_
ASV_132	87.04346560791569	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Molidae	Mola	unassigned
ASV_13	99.31192102895767	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Diaphus	Diaphus theta
ASV_33	93.4273276976333	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Microstomus	Microstomus pacificus
ASV_8	99.8285959148693	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_10	75.32529167490607	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_125	90.49380780686627	Eukaryota	Chordata	Actinopteri	Stomiiformes	Gonostomatidae	Cyclothone	Cyclothone acclinidens
ASV_270	95.849201635163	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_210	99.8131958454756	Eukaryota	Chordata	Actinopteri	Gadiformes	Macrouridae	Malacocephalus	unassigned
ASV_70	99.81384584423425	Eukaryota	Chordata	Actinopteri	Lampriformes	Trachipteridae	Trachipterus	unassigned
ASV_163	99.5016077170418	Eukaryota	Chordata	Chondrichthyes	Chimaeriformes	Chimaeridae	Hydrolagus	Hydrolagus colliei
ASV_23	52.24121251209287	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sardinops	Sardinops melanostictus
ASV_407	79.23556519381947	Eukaryota	Chordata	Actinopteri	Argentiniformes	Argentinidae	g_	s_
ASV_28	44.393497290537724	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_21	69.89421281891724	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_19	55.33256312922925	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Lipolagus	Lipolagus ochotensis
ASV_117	90.61797087723453	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_61	99.77860905412626	Eukaryota	Chordata	Actinopteri	Scombriformes	Centrolophidae	Icichthys	Icichthys lockingtoni
ASV_502	53.71752762018514	Eukaryota	Chordata	Mammalia	Cetacea	Ziphiidae	Ziphius	Ziphius cavirostris
ASV_45	23.258849120031638	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Molidae	Mola	unassigned
ASV_68	42.46420222092343	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	unassigned
ASV_20	99.74765053950574	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	Citharichthys sordidus
ASV_370	52.34180138568129	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Diaphus	Diaphus theta
ASV_41	99.5580808080808	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_599	67.98426618519474	Eukaryota	Chordata	Actinopteri	Alepocephaliformes	Platytroctidae	Sagamichthys	Sagamichthys abei
ASV_608	59.73679633601948	Eukaryota	Chordata	Actinopteri	Scombriformes	Centrolophidae	Icichthys	Icichthys lockingtoni
ASV_16	46.198614318706696	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sardinops	Sardinops melanostictus
ASV_636	45.8477675134719	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_43	48.499866773248065	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_162	53.46504924333414	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Lyopsetta	Lyopsetta exilis
ASV_195	99.28536821705426	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus tshawytscha
ASV_495	45.973645680819914	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_54	36.15708146658133	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Pseudobathylagus	Pseudobathylagus milleri
ASV_761	99.70137097868876	Eukaryota	Chordata	Actinopteri	Alepocephaliformes	Platytroctidae	Holtbyrnia	s_
ASV_764	95.93846984212658	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Lipolagus	Lipolagus ochotensis
ASV_245	32.18432842644235	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_785	18.84918492928857	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Pseudobathylagus	Pseudobathylagus milleri
ASV_436	98.93737602720317	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_11	38.14833032737607	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sardinops	Sardinops melanostictus
ASV_741	43.1978912176932	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_802	21.086885779368693	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Lipolagus	Lipolagus ochotensis
ASV_691	26.857412491420728	Eukaryota	Chordata	Actinopteri	Myctophiformes	Neoscopelidae	Scopelengys	Scopelengys tristis
ASV_755	57.63446812436571	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_579	67.39889602343135	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_316	45.910209102091024	Eukaryota	Chordata	Chondrichthyes	Chimaeriformes	Chimaeridae	Hydrolagus	Hydrolagus colliei
ASV_670	44.557195571955724	Eukaryota	Chordata	Mammalia	Cetacea	Delphinidae	unassigned	unassigned
ASV_894	38.696438508625484	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	Citharichthys sordidus
ASV_616	99.20163386557742	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_943	21.476453118370813	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Lipolagus	Lipolagus ochotensis
ASV_925	32.79751101892663	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Symbolophorus	Symbolophorus californiensis
ASV_985	82.82864267901674	Eukaryota	Chordata	Actinopteri	Lampriformes	Trachipteridae	Trachipterus	unassigned
ASV_992	18.74009347693558	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_997	29.49445447510962	Eukaryota	Chordata	Actinopteri	Alepocephaliformes	Platytroctidae	Sagamichthys	Sagamichthys abei
ASV_289	38.28557063851182	Eukaryota	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae
ASV_515	17.770999719067305	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_1023	16.363772343130655	Eukaryota	Chordata	Actinopteri	Stomiiformes	Stomiidae	Pachystomias	Pachystomias microdon
ASV_1031	6.3973614226923585	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Microstomus	Microstomus pacificus
ASV_325	97.09000676742612	Eukaryota	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera	Megaptera novaeangliae
ASV_717	94.29151624548736	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
