"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_2479",0.00682227959644033,0.0234002292532667,-0.00246717066051405,"ASV_2479","Eukaryota","Chordata","Mammalia","Cetacea","Balaenopteridae","Megaptera","Megaptera novaeangliae"
"2","ASV_300",-0.200780119759044,-0.0723979384474748,-0.0721918099211352,"ASV_300","Eukaryota","Chordata","Mammalia","Cetacea","Delphinidae","unassigned","unassigned"
"3","ASV_8",0.540824062189093,-0.144104055844739,-0.239238259744806,"ASV_8","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Stenobrachius","Stenobrachius leucopsarus"
"4","ASV_599",-0.0919926875982868,0.0205298312962205,0.0336801576978209,"ASV_599","Eukaryota","Chordata","Actinopteri","Alepocephaliformes","Platytroctidae","Sagamichthys","Sagamichthys abei"
"5","ASV_10",-0.0779677059161356,-0.742314922197509,0.10252337440699,"ASV_10","Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus","Leuroglossus schmidti"
"6","ASV_20",-0.173153321641272,0.109676490217979,-0.0895169440119177,"ASV_20","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys sordidus"
"7","ASV_87",0.00902717277589583,-0.0430218936131343,0.0082864613084365,"ASV_87","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes paucispinis"
"8","ASV_289",0.0352697788481906,0.0264722001492437,0.0752804112146292,"ASV_289","Eukaryota","Chordata","Mammalia","Cetacea","Balaenopteridae","Megaptera","Megaptera novaeangliae"
"9","ASV_997",-0.0570430969285517,0.0155005352065228,0.0248834918935395,"ASV_997","Eukaryota","Chordata","Actinopteri","Alepocephaliformes","Platytroctidae","Sagamichthys","Sagamichthys abei"
"10","ASV_1801",-0.0705445906553864,-0.0218836107686179,-0.131589028232875,"ASV_1801","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Diaphus","Diaphus theta"
