"","SampleID","PC1","PC2","PC3","FilterID","target_gene","PlateID","library","local_time","time_label","SAMPLING_cruise","depth","SAMPLING_platform","SC","ESP","SAMPLING_station_number","SAMPLING_station","SAMPLING_bottle","decimalLongitude","decimalLatitude","sample_type","Plates","Markers","Status","Dewar_name","Sampling_method","replicate","SAMPLING_rdepth","project_name","nitrate","fluor","density","pressure","minimumDepthInMeters","maximumDepthInMeters","start_GMT","end_GMT","temp","salinity","sigmat","spice","diss_oxygen","PAR (umol/s/m2)","altitude","chlorophyll","bbp470 (count)","bbp650 (count)","SAMPLING_project","ESP_name","diel","month","day","hour","eventDate","time","time_since","year","jday","month_char","year_char","depth_bin"
"1","CN19Sc29_12_eDNA_RR",-0.0327525549487855,0.0533417976888548,-0.0547047426365016,"CN19Sc29_12_eDNA",12,"RR","RR1","6/3/19 12:04","06-03 day","CN19S",0,"WESTERN FLYER",NA,"CTD",29,"MARS",12,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,2.282,"CANON",0.113,0.0643,24.0608,2.299,NA,NA,NA,NA,14.1974,32.3001,NA,NA,NA,NA,NA,1.1079,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","0-50m"
"2","CN19Sc29_9_eDNA_RR",-0.0111160115750393,0.0497734631578205,0.157916148337748,"CN19Sc29_09_eDNA",12,"RR","RR4","6/3/19 12:04","06-03 day","CN19S",110,"WESTERN FLYER",NA,"CTD",29,"MARS",9,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,110.532,"CANON",25.319,0.0354,26.2664,111.383,NA,NA,NA,NA,9.14,33.9384,NA,NA,NA,NA,NA,0.3852,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","100-200m"
"3","CN19Sc29_8_eDNA_RR",-0.0921286446120971,0.0162947950393872,0.00384522196163828,"CN19Sc29_08_eDNA",12,"RR","RR5","6/3/19 12:04","06-03 day","CN19S",165,"WESTERN FLYER",NA,"CTD",29,"MARS",8,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,165.27,"CANON",27.642,0.0354,26.4198,166.564,NA,NA,NA,NA,8.5266,34.0104,NA,NA,NA,NA,NA,0.3852,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","100-200m"
"4","CN19Sc29_5_eDNA_RR",-0.0490584850477476,0.0396399303515806,0.158792315748987,"CN19Sc29_05_eDNA",12,"RR","RR8","6/3/19 12:04","06-03 day","CN19S",300,"WESTERN FLYER",NA,"CTD",29,"MARS",5,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,299.558,"CANON",34.071,0.035,26.7137,302.003,NA,NA,NA,NA,7.2047,34.1359,NA,NA,NA,NA,NA,0.3746,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","200-300m"
"5","CN19Sc29_4_eDNA_RR",0.0913038313977402,-0.0230605493124884,-0.0300394556458975,"CN19Sc29_04_eDNA",12,"RR","RR9","6/3/19 12:04","06-03 day","CN19S",400,"WESTERN FLYER",NA,"CTD",29,"MARS",4,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,399.462,"CANON",36.655,0.0362,26.8472,402.819,NA,NA,NA,NA,6.4632,34.1768,NA,NA,NA,NA,NA,0.4064,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","300-400m"
"6","CN19Sc29_3_eDNA_RR",-0.0662066463077043,0.0590704625207669,-0.0264750404389461,"CN19Sc29_03_eDNA",12,"RR","RR10","6/3/19 12:04","06-03 day","CN19S",500,"WESTERN FLYER",NA,"CTD",29,"MARS",3,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,500.001,"CANON",39.478,0.0366,26.9586,504.326,NA,NA,NA,NA,5.9391,34.2316,NA,NA,NA,NA,NA,0.4158,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","400-500m"
"7","CN19Sc31_12_eDNA_RR",-0.122241323372737,0.00931859094188965,-0.0401891555658607,"CN19Sc31_12_eDNA",12,"RR","RR14","6/3/19 18:05","06-03 transition","CN19S",0,"WESTERN FLYER",NA,"CTD",31,"MARS",12,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,2.194,"CANON",0.241,0.0726,23.9503,2.21,NA,NA,NA,NA,14.3193,32.1897,NA,NA,NA,NA,NA,1.3153,NA,NA,NA,NA,"transition",6,3,18,2019-06-04 01:05:00,2019-06-03 18:05:00,1559585100,2019,154,"6","2019","0-50m"
"8","CN19Sc31_11_eDNA_RR",-0.0532174988305351,0.00141935714500695,0.115902571889543,"CN19Sc31_11_eDNA",12,"RR","RR15","6/3/19 18:05","06-03 transition","CN19S",40,"WESTERN FLYER",NA,"CTD",31,"MARS",11,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,39.863,"CANON",17.472,0.0449,25.7375,40.162,NA,NA,NA,NA,10.48,33.5485,NA,NA,NA,NA,NA,0.6226,NA,NA,NA,NA,"transition",6,3,18,2019-06-04 01:05:00,2019-06-03 18:05:00,1559585100,2019,154,"6","2019","0-50m"
"9","CN19Sc31_10_eDNA_RR",-0.0923828539063445,-0.142249443045105,-0.0422832076989778,"CN19Sc31_10_eDNA",12,"RR","RR16","6/3/19 18:05","06-03 transition","CN19S",80,"WESTERN FLYER",NA,"CTD",31,"MARS",10,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,80.115,"CANON",23.778,0.0371,26.0761,80.726,NA,NA,NA,NA,9.6132,33.7938,NA,NA,NA,NA,NA,0.4282,NA,NA,NA,NA,"transition",6,3,18,2019-06-04 01:05:00,2019-06-03 18:05:00,1559585100,2019,154,"6","2019","50-100m"
"10","CN19Sc31_7_eDNA_RR",0.0254313982343263,0.0121740949434641,0.109698531797819,"CN19Sc31_07_eDNA",12,"RR","RR19","6/3/19 18:05","06-03 transition","CN19S",200,"WESTERN FLYER",NA,"CTD",31,"MARS",7,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,199.856,"CANON",28.373,0.0354,26.5156,201.438,NA,NA,NA,NA,8.0527,34.0407,NA,NA,NA,NA,NA,0.3852,NA,NA,NA,NA,"transition",6,3,18,2019-06-04 01:05:00,2019-06-03 18:05:00,1559585100,2019,154,"6","2019","100-200m"
