#OTUID	CN19Sc29_12_eDNA_RR	CN19Sc31_12_eDNA_RR	CN19Sc34_12_eDNA_RR	CN19Sc36_12_eDNA_RR	CN19Sc38_12_eDNA_RR	CN19Sc28_12_eDNA_RR	CN19Sc30_12_eDNA_RR	CN19Sc37_12_eDNA_RR	CN19Sc37_11_eDNA_RR	CN19SESPMV1_SC58_eDNA_AT	CN19Sc03_12_eDNA_JJ	CN19Sc10_12_eDNA_JJ	CN19Sc12_12_eDNA_JJ	CN19Sc15_12_eDNA_JJ	CN19Sc18_12_eDNA_JJ	CN19Sc21_12_eDNA_JJ	CN19Sc25_12_eDNA_JJ
ASV_1	24891	34527	49669	62611	27707	22402	36720	20600	37494	36421	18279	15821	16061	35361	33079	42690	35694
ASV_59	1081	3385	184	674	10	13	1096	11	304	0	15	6	3	15	349	1445	1046
ASV_2949	481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_307	200	123	63	313	2183	0	1658	51	182	0	1	2526	445	1	103	152	292
ASV_284	72	89	120	125	85	71	127	55	105	0	78	38	61	95	196	230	86
ASV_143	51	69	810	142	31	58	73	43	61	0	56	350	49	116	71	95	336
ASV_240	46	80	581	124	27	49	2212	30	73	0	0	0	0	0	0	0	0
ASV_442	42	40	105	113	64	17	69	33	76	0	48	38	57	51	48	440	106
ASV_287	41	4339	137	132	55	276	201	138	92	0	338	60	44	108	475	162	592
ASV_217	34	16	32	58	14	19	38	1046	17	0	0	0	0	0	0	0	0
ASV_1383	27	24	27	426	25	21	26	11	55	0	0	0	0	0	0	0	0
ASV_1067	20	20	47	58	29	13	29	27	29	0	0	0	0	0	0	0	0
ASV_14	11	1	2	9	6	4	1	1	6	0	3	0	0	4	0	13	4
ASV_99	10	15	49	22	10	13	10	14	30	13	9	21	9	2392	9	15	858
ASV_4204	7	9	8	10	8	4	8	8	17	0	0	0	0	0	0	0	0
ASV_2311	6	33	1059	2	0	1	3	0	0	0	0	0	0	0	0	0	0
