#SampleID	SAMPLING_cruise	depth
CN19Sc29_12_eDNA_RR	CN19S	0
CN19Sc31_12_eDNA_RR	CN19S	0
CN19Sc34_12_eDNA_RR	CN19S	0
CN19Sc36_12_eDNA_RR	CN19S	0
CN19Sc38_12_eDNA_RR	CN19S	0
CN19Sc28_12_eDNA_RR	CN19S	0
CN19Sc30_12_eDNA_RR	CN19S	0
CN19Sc37_12_eDNA_RR	CN19S	0
CN19Sc37_11_eDNA_RR	CN19S	10
CN19SESPMV1_SC58_eDNA_AT	CN19S	17.6279
CN19Sc03_12_eDNA_JJ	CN19S	0
CN19Sc10_12_eDNA_JJ	CN19S	0
CN19Sc12_12_eDNA_JJ	CN19S	0
CN19Sc15_12_eDNA_JJ	CN19S	0
CN19Sc18_12_eDNA_JJ	CN19S	0
CN19Sc21_12_eDNA_JJ	CN19S	0
CN19Sc25_12_eDNA_JJ	CN19S	0
