"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_1",0.0474310405027357,-0.0503539684111016,-0.677234325081348,"ASV_1","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"2","ASV_59",-0.00905968366239411,-0.153709553327134,-0.153650395536566,"ASV_59","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"3","ASV_2949",-0.0166818898739978,-0.0525816012572553,-0.0777610013236616,"ASV_2949","Eukaryota","Chordata","Mammalia","Cetacea","Balaenopteridae","Megaptera","Megaptera novaeangliae"
"4","ASV_307",-0.31336132355997,-0.145064524299015,-0.165591612855822,"ASV_307","Eukaryota","Chordata","Mammalia","Cetacea","Delphinidae","unassigned","unassigned"
"5","ASV_284",0.00657571030818335,-0.0403963813340983,-0.123761028791959,"ASV_284","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"6","ASV_143",0.0138332304752938,0.0448390062077507,-0.123966717617328,"ASV_143","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"7","ASV_240",0.117883396135454,-0.136785529497647,-0.0936763355080849,"ASV_240","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"8","ASV_442",-0.0282369584611594,0.00177515322455312,-0.0861579318707756,"ASV_442","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"9","ASV_287",0.0756434913550072,-0.0510220964504415,-0.181839218260803,"ASV_287","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"10","ASV_217",0.045511909210526,-0.0172764319770635,-0.0305719378022039,"ASV_217","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"11","ASV_1383",-0.0204711096704016,-0.0614856194157458,-0.016459719558288,"ASV_1383","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"12","ASV_1067",-0.00256570492073765,-0.00138134635653902,-0.0131589871367216,"ASV_1067","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"13","ASV_14",-0.17603794793791,0.0335125706514666,0.166486685573574,"ASV_14","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Stenobrachius","Stenobrachius leucopsarus"
"14","ASV_99",0.17807830610077,0.183899719119763,0.0148326365712141,"ASV_99","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"15","ASV_4204",-0.0481696266507753,0.105647919613712,0.0616208287433727,"ASV_4204","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"16","ASV_2311",0.0494049208393531,0.149845238578197,0.0303178819527268,"ASV_2311","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"17","ASV_296",0.159086140897831,-0.0465741223320475,0.0706420812711862,"ASV_296","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"18","ASV_1165",0.0622980943237164,0.221454364755027,0.0485897163075436,"ASV_1165","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"19","ASV_12",-0.178486924397392,-0.0767373348746247,0.119627409049976,"ASV_12","Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus","Leuroglossus schmidti"
