"","SampleID","PC1","PC2","PC3","FilterID","target_gene","PlateID","library","local_time","time_label","SAMPLING_cruise","depth","SAMPLING_platform","SC","ESP","SAMPLING_station_number","SAMPLING_station","SAMPLING_bottle","decimalLongitude","decimalLatitude","sample_type","Plates","Markers","Status","Dewar_name","Sampling_method","replicate","SAMPLING_rdepth","project_name","nitrate","fluor","density","pressure","minimumDepthInMeters","maximumDepthInMeters","start_GMT","end_GMT","temp","salinity","sigmat","spice","diss_oxygen","PAR (umol/s/m2)","altitude","chlorophyll","bbp470 (count)","bbp650 (count)","SAMPLING_project","ESP_name","diel","month","day","hour","eventDate","time","time_since","year","jday","month_char","year_char","depth_bin"
"1","CN19Sc29_12_eDNA_RR",-0.0893458678584123,-0.00804029314896466,-0.0131101087114307,"CN19Sc29_12_eDNA",12,"RR","RR1","6/3/19 12:04","06-03 day","CN19S",0,"WESTERN FLYER",NA,"CTD",29,"MARS",12,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,2.282,"CANON",0.113,0.0643,24.0608,2.299,NA,NA,NA,NA,14.1974,32.3001,NA,NA,NA,NA,NA,1.1079,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","0-50m"
"2","CN19Sc29_11_eDNA_RR",-0.0721720898474084,-0.0145811937013293,-0.0197582668879848,"CN19Sc29_11_eDNA",12,"RR","RR2","6/3/19 12:04","06-03 day","CN19S",40,"WESTERN FLYER",NA,"CTD",29,"MARS",11,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,41,"CANON",18.414,0.0428,25.7136,41.308,NA,NA,NA,NA,10.5376,33.5306,NA,NA,NA,NA,NA,0.5715,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","0-50m"
"3","CN19Sc29_10_eDNA_RR",-0.0566799446143245,-0.0142229646712183,-0.0128415135694494,"CN19Sc29_10_eDNA",12,"RR","RR3","6/3/19 12:04","06-03 day","CN19S",80,"WESTERN FLYER",NA,"CTD",29,"MARS",10,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,80.077,"CANON",25.018,0.0371,26.1126,80.687,NA,NA,NA,NA,9.5024,33.8173,NA,NA,NA,NA,NA,0.4264,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","50-100m"
"4","CN19Sc29_9_eDNA_RR",-0.028730866094845,0.0664463247426555,-0.0359002642052444,"CN19Sc29_09_eDNA",12,"RR","RR4","6/3/19 12:04","06-03 day","CN19S",110,"WESTERN FLYER",NA,"CTD",29,"MARS",9,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,110.532,"CANON",25.319,0.0354,26.2664,111.383,NA,NA,NA,NA,9.14,33.9384,NA,NA,NA,NA,NA,0.3852,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","100-200m"
"5","CN19Sc29_8_eDNA_RR",-0.00258196778562265,0.00640838242804108,-0.014844665413885,"CN19Sc29_08_eDNA",12,"RR","RR5","6/3/19 12:04","06-03 day","CN19S",165,"WESTERN FLYER",NA,"CTD",29,"MARS",8,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,165.27,"CANON",27.642,0.0354,26.4198,166.564,NA,NA,NA,NA,8.5266,34.0104,NA,NA,NA,NA,NA,0.3852,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","100-200m"
"6","CN19Sc29_7_eDNA_RR",0.0449274397068296,-0.0216706326226311,-0.136675551794656,"CN19Sc29_07_eDNA",12,"RR","RR6","6/3/19 12:04","06-03 day","CN19S",200,"WESTERN FLYER",NA,"CTD",29,"MARS",7,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,200.462,"CANON",28.952,0.0366,26.5028,202.049,NA,NA,NA,NA,8.1362,34.0402,NA,NA,NA,NA,NA,0.4152,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","100-200m"
"7","CN19Sc29_6_eDNA_RR",0.0309505451140358,-0.0426118787818502,-0.0633989782799456,"CN19Sc29_06_eDNA",12,"RR","RR7","6/3/19 12:04","06-03 day","CN19S",245,"WESTERN FLYER",NA,"CTD",29,"MARS",6,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,245.392,"CANON",31.56,0.0352,26.6422,247.362,NA,NA,NA,NA,7.5658,34.1107,NA,NA,NA,NA,NA,0.3802,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","200-300m"
"8","CN19Sc29_5_eDNA_RR",-0.0142239094722685,0.113171435432582,0.00464177268350504,"CN19Sc29_05_eDNA",12,"RR","RR8","6/3/19 12:04","06-03 day","CN19S",300,"WESTERN FLYER",NA,"CTD",29,"MARS",5,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,299.558,"CANON",34.071,0.035,26.7137,302.003,NA,NA,NA,NA,7.2047,34.1359,NA,NA,NA,NA,NA,0.3746,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","200-300m"
"9","CN19Sc29_4_eDNA_RR",0.028805103267099,-0.171020272370237,-0.114244695707676,"CN19Sc29_04_eDNA",12,"RR","RR9","6/3/19 12:04","06-03 day","CN19S",400,"WESTERN FLYER",NA,"CTD",29,"MARS",4,-122.1982,36.7115,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,399.462,"CANON",36.655,0.0362,26.8472,402.819,NA,NA,NA,NA,6.4632,34.1768,NA,NA,NA,NA,NA,0.4064,NA,NA,NA,NA,"day",6,3,12,2019-06-03 19:04:00,2019-06-03 12:04:00,1559563440,2019,154,"6","2019","300-400m"
"10","CN19Sc31_12_eDNA_RR",-0.114397279129962,-0.00183630726767664,-0.0360097013299691,"CN19Sc31_12_eDNA",12,"RR","RR14","6/3/19 18:05","06-03 transition","CN19S",0,"WESTERN FLYER",NA,"CTD",31,"MARS",12,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,2.194,"CANON",0.241,0.0726,23.9503,2.21,NA,NA,NA,NA,14.3193,32.1897,NA,NA,NA,NA,NA,1.3153,NA,NA,NA,NA,"transition",6,3,18,2019-06-04 01:05:00,2019-06-03 18:05:00,1559585100,2019,154,"6","2019","0-50m"
