"","SampleID","PC1","PC2","PC3","FilterID","target_gene","PlateID","library","local_time","time_label","SAMPLING_cruise","depth","SAMPLING_platform","SC","ESP","SAMPLING_station_number","SAMPLING_station","SAMPLING_bottle","decimalLongitude","decimalLatitude","sample_type","Plates","Markers","Status","Dewar_name","Sampling_method","replicate","SAMPLING_rdepth","project_name","nitrate","fluor","density","pressure","minimumDepthInMeters","maximumDepthInMeters","start_GMT","end_GMT","temp","salinity","sigmat","spice","diss_oxygen","PAR (umol/s/m2)","altitude","chlorophyll","bbp470 (count)","bbp650 (count)","SAMPLING_project","ESP_name","diel","month","day","hour","eventDate","depth_rov","latitude","longitude","ROVtime","ROVday","time","time_since","year","jday","month_char","year_char","depth_bin"
"1","CN19SESPKOA_SC03_eDNA_BK",-0.0556991643576523,0.00995532507020371,0.0216170221312369,"CN19SESPKOA_SC03_eDNA",12,"BK","BK36",2019-06-06 04:25:00,"06-06 night","CN19S",199.2941,"makai",3,"ESP",NA,NA,NA,-122.1893,36.711,"environmental","AD,XX,AC,YY,AE","12S,COI,12S,COI,18S","Tube Extracts (racks E-G)",NA,"ESP",NA,NA,NA,NA,NA,NA,NA,190.9863,207.6019,"6/6/19 11:25","6/6/19 12:09",8.347,34.0243,26.4586,0.0992,3343.6569,-0.3973,700.6458,0.0802,78.0935,111.4209,"CANON",NA,"night",NA,NA,4,2019-06-06 11:25:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100-200m"
"2","CN19SESPKOA_SC04_eDNA_BK",-0.0487502572028292,-0.0222015059853866,-0.0318458238479556,"CN19SESPKOA_SC04_eDNA",12,"BK","BK35",2019-06-06 03:24:00,"06-06 night","CN19S",146.6775,"makai",4,"ESP",NA,NA,NA,-122.1872,36.71,"environmental","AD,XX,AC,YY,AE","12S,COI,12S,COI,18S","Tube Extracts (racks E-G)",NA,"ESP",NA,NA,NA,NA,NA,NA,NA,141.2949,152.06,"6/6/19 10:24","6/6/19 11:05",8.8717,33.9651,26.3305,0.1342,3747.9861,-0.3961,748.982,0.0843,80.2649,114.8364,"CANON",NA,"night",NA,NA,3,2019-06-06 10:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100-200m"
"3","CN19SESPKOA_SC05_eDNA_BK",-0.0252535691714301,-0.0461586923617358,0.0558705931119268,"CN19SESPKOA_SC05_eDNA",12,"BK","BK34",2019-06-06 02:24:00,"06-06 night","CN19S",121.5597,"makai",5,"ESP",NA,NA,NA,-122.1853,36.7126,"environmental","AD,XX,AC,YY,AE","12S,COI,12S,COI,18S","Tube Extracts (racks E-G)",NA,"ESP",NA,NA,NA,NA,NA,NA,NA,116.5152,126.6042,"6/6/19 9:24","6/6/19 10:06",9.1251,33.9214,26.2557,0.1402,4025.2129,-0.3988,761.3031,0.0858,79.5004,112.9721,"CANON",NA,"night",NA,NA,2,2019-06-06 09:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100-200m"
"4","CN19SESPKOA_SC06_eDNA_BK",-0.0614614720037375,-0.0119184414904272,0.0363816461553382,"CN19SESPKOA_SC06_eDNA",12,"BK","BK33",2019-06-06 01:24:00,"06-06 night","CN19S",102.1287,"makai",6,"ESP",NA,NA,NA,-122.1859,36.7155,"environmental","AD,XX,AC,YY,AE","12S,COI,12S,COI,18S","Tube Extracts (racks E-G)",NA,"ESP",NA,NA,NA,NA,NA,NA,NA,97.4711,106.7863,"6/6/19 8:24","6/6/19 9:07",9.2865,33.8869,26.2025,0.1392,4176.1203,-0.3942,768.3183,0.0928,78.7311,111.0515,"CANON",NA,"night",NA,NA,1,2019-06-06 08:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100-200m"
"5","CN19SESPKOA_SC07_eDNA_BK",-0.0785153276141943,0.00490432915347144,0.000893394079428663,"CN19SESPKOA_SC07_eDNA",12,"BK","BK32",2019-06-06 00:21:00,"06-06 night","CN19S",52.3205,"makai",7,"ESP",NA,NA,NA,-122.1852,36.7156,"environmental","AD,XX,AC,YY,AE","12S,COI,12S,COI,18S","Tube Extracts (racks E-G)",NA,"ESP",NA,NA,NA,NA,NA,NA,NA,46.8318,57.8091,"6/6/19 7:21","6/6/19 8:04",10.1746,33.6394,25.8611,0.0925,5951.8783,-0.3827,817.153,0.1438,77.6797,108.4201,"CANON",NA,"night",NA,NA,0,2019-06-06 07:21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50-100m"
"6","CN19SESPKOA_SC08_eDNA_BK",-0.0508336692097301,0.0478390319698341,0.0260417717872034,"CN19SESPKOA_SC08_eDNA",12,"BK","BK31",2019-06-05 23:08:00,"06-05 night","CN19S",22.3776,"makai",8,"ESP",NA,NA,NA,-122.1848,36.7153,"environmental","AD,XX,AC,YY,AE","12S,COI,12S,COI,18S","Tube Extracts (racks E-G)",NA,"ESP",NA,NA,NA,NA,NA,NA,NA,17.7883,26.9668,"6/6/19 6:08","6/6/19 7:03",11.2678,33.2994,25.4032,0.0191,7765.7921,-0.3825,848.8483,0.5969,84.9709,123.6788,"CANON",NA,"night",NA,NA,23,2019-06-06 06:08:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0-50m"
"7","CN19SESPKOA_SC09_eDNA_BK",0.0157754485953021,-0.0932388442669201,0.101691485063459,"CN19SESPKOA_SC09_eDNA",12,"BK","BK30",2019-06-05 20:38:00,"06-05 transition","CN19S",282.1061,"makai",9,"ESP",NA,NA,NA,-122.1912,36.7098,"environmental","AD,XX,AC,YY,AE","12S,COI,12S,COI,18S","Tube Extracts (racks E-G)",NA,"ESP",NA,NA,NA,NA,NA,NA,NA,277.0391,287.1731,"6/6/19 3:38","6/6/19 4:23",7.5475,34.1047,26.6406,0.044,2092.6315,-0.413,632.8566,0.0857,77.0171,110.187,"CANON",NA,"transition",NA,NA,20,2019-06-06 03:38:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200-300m"
"8","CN19SESPKOA_SC11_eDNA_BK",-0.0438626767195864,-0.0181314149572457,0.0348222711155062,"CN19SESPKOA_SC11_eDNA",12,"BK","BK28",2019-06-05 14:08:00,"06-05 day","CN19S",87.0948,"makai",11,"ESP",NA,NA,NA,-122.1913,36.7097,"environmental","AD,XX,AC,YY,AE","12S,COI,12S,COI,18S","Tube Extracts (racks E-G)",NA,"ESP",NA,NA,NA,NA,NA,NA,NA,81.4949,92.6948,"6/5/19 21:08","6/5/19 21:51",9.4038,33.8325,26.1407,0.1153,4620.8,-1.5054,830.0429,0.0971,78.2904,110.5611,"CANON",NA,"day",NA,NA,14,2019-06-05 21:08:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50-100m"
"9","CN19SESPKOA_SC34_eDNA_BK",-0.0273174677786138,-0.0735339218884948,0.0287827650134406,"CN19SESPKOA_SC34_eDNA",12,"BK","BK27",2019-06-03 15:34:00,"06-03 day","CN19S",152.5842,"makai",34,"ESP",NA,NA,NA,-122.1831,36.712,"environmental","AD,XX,AC,YY,AE","12S,COI,12S,COI,18S","Tube Extracts (racks E-G)",NA,"ESP",NA,NA,NA,NA,NA,NA,NA,148.875,156.2935,"6/3/19 22:34","6/3/19 23:20",8.6883,33.9714,26.3641,0.1102,3926.3725,-0.4628,730.3812,0.0887,80.7806,116.1035,"CANON",NA,"day",NA,NA,15,2019-06-03 22:34:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100-200m"
"10","CN19SESPKOA_SC35_eDNA_BK",0.000919856573762229,-0.0394103291672489,0.0718493411092377,"CN19SESPKOA_SC35_eDNA",12,"BK","BK26",2019-06-03 14:32:00,"06-03 day","CN19S",112.465,"makai",35,"ESP",NA,NA,NA,-122.1855,36.7154,"environmental","AD,XX,AC,YY,AE","12S,COI,12S,COI,18S","Tube Extracts (racks E-G)",NA,"ESP",NA,NA,NA,NA,NA,NA,NA,108.8581,116.072,"6/3/19 21:32","6/3/19 22:15",9.1035,33.9139,26.2531,0.1307,4139.624,-0.4312,758.6151,0.0901,80.0074,114.3216,"CANON",NA,"day",NA,NA,14,2019-06-03 21:32:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100-200m"
