local_time,mean,SD
0:07,-63.7855,1.86287
0:22,-63.7373,1.88657
0:37,-63.7895,1.9283
0:52,-63.7669,1.99976
1:07,-63.6854,2.03239
1:22,-63.6891,2.09092
1:37,-63.5336,2.20521
1:52,-63.4431,2.13471
2:07,-63.7521,2.0814
2:22,-63.743,2.17664
2:37,-63.8074,2.24556
2:52,-63.9264,2.14592
3:07,-64.0101,2.12337
3:22,-64.0078,2.19015
3:37,-64.1771,2.11743
3:52,-64.1543,2.1475
4:07,-64.0988,2.13627
4:22,-64.0634,2.10386
4:37,-64.1037,2.07656
4:52,-63.9523,2.06318
5:07,-63.9631,2.02815
5:22,-64.0139,1.90444
5:37,-63.4274,2.02657
5:52,-62.4496,2.14259
6:07,-62.1932,2.3768
6:22,-62.6401,2.64957
6:37,-62.9559,2.86917
6:52,-63.3846,2.85895
7:07,-63.382,2.91303
7:22,-63.6279,2.82481
7:37,-64.3115,2.54493
7:52,-64.6729,2.55584
8:07,-65.3163,2.48131
8:22,-65.5481,2.43707
8:37,-65.9244,2.4358
8:52,-66.1791,2.51056
9:07,-66.1432,2.67685
9:22,-66.4994,2.67506
9:37,-66.9246,2.64105
9:52,-66.9597,2.6896
10:07,-67.0291,2.83586
10:22,-67.3573,2.62896
10:37,-67.5556,2.62405
10:52,-67.8267,2.36943
11:07,-67.9408,2.25702
11:22,-68.2621,2.1482
11:37,-68.2914,2.24186
11:52,-68.3187,2.29934
12:07,-68.4826,2.13294
12:22,-68.7941,2.01576
12:37,-68.7239,2.23707
12:52,-68.5469,2.31219
13:07,-68.7425,2.16758
13:22,-68.6505,2.31034
13:37,-68.0785,2.59011
13:52,-68.9353,2.04666
14:07,-68.6688,2.24006
14:22,-68.0059,2.67125
14:37,-68.2694,2.41595
14:52,-68.2712,2.20703
15:07,-68.2984,2.26266
15:22,-68.3771,2.18174
15:37,-68.0836,2.1861
15:52,-67.7395,2.39484
16:07,-67.0173,2.99864
16:22,-66.9956,2.96834
16:37,-67.1198,2.76476
16:52,-67.193,2.51055
17:07,-66.7965,2.58582
17:22,-66.497,2.67064
17:37,-66.4882,2.79449
17:52,-66.6156,2.61663
18:07,-65.8474,3.03667
18:22,-65.3223,3.39827
18:37,-64.9682,3.48707
18:52,-64.3459,3.39625
19:07,-63.6329,3.15757
19:22,-62.8787,2.84351
19:37,-61.7381,2.74508
19:52,-61.2265,2.67938
20:07,-61.7972,2.2217
20:22,-63.8027,2.08739
20:37,-66.1905,1.54086
20:52,-66.7944,1.5115
21:07,-66.6841,1.64726
21:22,-66.4354,1.56331
21:37,-66.1766,1.57189
21:52,-65.4752,1.70749
22:07,-65.0982,1.77632
22:22,-64.5233,2.01934
22:37,-64.0701,2.15442
22:52,-64.5677,1.68132
23:07,-64.4212,1.64985
23:22,-64.1471,1.73953
23:37,-63.7957,1.80295
23:52,-63.8262,1.87337
