sample_name,FilterID,target_gene,PlateID,library,local_time,time_label,SAMPLING_cruise,depth,SAMPLING_platform,SC,ESP,SAMPLING_station_number,SAMPLING_station,SAMPLING_bottle,decimalLongitude,decimalLatitude,sample_type,Plates,Markers,Status,Dewar_name,Sampling_method,replicate,SAMPLING_rdepth,project_name,nitrate,fluor,density,pressure,minimumDepthInMeters,maximumDepthInMeters,start_GMT,end_GMT,temp,salinity,sigmat,spice,diss_oxygen,PAR (umol/s/m2),altitude,chlorophyll,bbp470 (count),bbp650 (count),SAMPLING_project,ESP_name,diel,month,day,hour,eventDate
CN19Sc29_12_eDNA_RR,CN19Sc29_12_eDNA,12S,RR,RR1,6/3/19 12:04,06-03 day,CN19S,0.0,WESTERN FLYER,,,29.0,MARS,12.0,-122.1982,36.7115,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,2.282,CANON,0.113,0.0643,24.0608,2.299,,,,,14.1974,32.3001,,,,,,1.1079,,,,,day,6.0,3.0,12.0,2019-06-03 19:04:00
CN19Sc29_11_eDNA_RR,CN19Sc29_11_eDNA,12S,RR,RR2,6/3/19 12:04,06-03 day,CN19S,40.0,WESTERN FLYER,,,29.0,MARS,11.0,-122.1982,36.7115,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,41.0,CANON,18.414,0.0428,25.7136,41.308,,,,,10.5376,33.5306,,,,,,0.5715,,,,,day,6.0,3.0,12.0,2019-06-03 19:04:00
CN19Sc29_10_eDNA_RR,CN19Sc29_10_eDNA,12S,RR,RR3,6/3/19 12:04,06-03 day,CN19S,80.0,WESTERN FLYER,,,29.0,MARS,10.0,-122.1982,36.7115,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,80.077,CANON,25.018,0.0371,26.1126,80.687,,,,,9.5024,33.8173,,,,,,0.4264,,,,,day,6.0,3.0,12.0,2019-06-03 19:04:00
CN19Sc29_9_eDNA_RR,CN19Sc29_09_eDNA,12S,RR,RR4,6/3/19 12:04,06-03 day,CN19S,110.0,WESTERN FLYER,,,29.0,MARS,9.0,-122.1982,36.7115,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,110.532,CANON,25.319000000000006,0.0354,26.2664,111.383,,,,,9.14,33.9384,,,,,,0.3852,,,,,day,6.0,3.0,12.0,2019-06-03 19:04:00
CN19Sc29_8_eDNA_RR,CN19Sc29_08_eDNA,12S,RR,RR5,6/3/19 12:04,06-03 day,CN19S,165.0,WESTERN FLYER,,,29.0,MARS,8.0,-122.1982,36.7115,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,165.27,CANON,27.642,0.0354,26.4198,166.56400000000005,,,,,8.5266,34.0104,,,,,,0.3852,,,,,day,6.0,3.0,12.0,2019-06-03 19:04:00
CN19Sc29_7_eDNA_RR,CN19Sc29_07_eDNA,12S,RR,RR6,6/3/19 12:04,06-03 day,CN19S,200.0,WESTERN FLYER,,,29.0,MARS,7.0,-122.1982,36.7115,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,200.462,CANON,28.952,0.0366,26.5028,202.049,,,,,8.1362,34.0402,,,,,,0.4152,,,,,day,6.0,3.0,12.0,2019-06-03 19:04:00
CN19Sc29_6_eDNA_RR,CN19Sc29_06_eDNA,12S,RR,RR7,6/3/19 12:04,06-03 day,CN19S,245.0,WESTERN FLYER,,,29.0,MARS,6.0,-122.1982,36.7115,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,245.392,CANON,31.56,0.0352,26.6422,247.362,,,,,7.5658,34.1107,,,,,,0.3802,,,,,day,6.0,3.0,12.0,2019-06-03 19:04:00
CN19Sc29_5_eDNA_RR,CN19Sc29_05_eDNA,12S,RR,RR8,6/3/19 12:04,06-03 day,CN19S,300.0,WESTERN FLYER,,,29.0,MARS,5.0,-122.1982,36.7115,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,299.558,CANON,34.071,0.035,26.7137,302.003,,,,,7.2047,34.1359,,,,,,0.3746,,,,,day,6.0,3.0,12.0,2019-06-03 19:04:00
CN19Sc29_4_eDNA_RR,CN19Sc29_04_eDNA,12S,RR,RR9,6/3/19 12:04,06-03 day,CN19S,400.0,WESTERN FLYER,,,29.0,MARS,4.0,-122.1982,36.7115,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,399.462,CANON,36.655,0.0362,26.8472,402.819,,,,,6.4632,34.1768,,,,,,0.4064,,,,,day,6.0,3.0,12.0,2019-06-03 19:04:00
CN19Sc29_3_eDNA_RR,CN19Sc29_03_eDNA,12S,RR,RR10,6/3/19 12:04,06-03 day,CN19S,500.0,WESTERN FLYER,,,29.0,MARS,3.0,-122.1982,36.7115,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,500.001,CANON,39.478,0.0366,26.9586,504.326,,,,,5.9391,34.2316,,,,,,0.4158,,,,,day,6.0,3.0,12.0,2019-06-03 19:04:00
CN19Sc29_2_eDNA_RR,CN19Sc29_02_eDNA,12S,RR,RR11,6/3/19 12:04,06-03 day,CN19S,600.0,WESTERN FLYER,,,29.0,MARS,2.0,-122.1982,36.7115,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,600.3530000000002,CANON,40.718,0.0379,27.09,605.695,,,,,5.3793,34.3103,,,,,,0.4463,,,,,day,6.0,3.0,12.0,2019-06-03 19:04:00
CN19Sc29_1_eDNA_RR,CN19Sc29_01_eDNA,12S,RR,RR12,6/3/19 12:04,06-03 day,CN19S,700.0,WESTERN FLYER,,,29.0,MARS,1.0,-122.1982,36.7115,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,700.324,CANON,42.105,0.0378,27.1654,706.7260000000001,,,,,4.9934,34.3477,,,,,,0.4444,,,,,day,6.0,3.0,12.0,2019-06-03 19:04:00
CN19Sc29_Bongo_eDNA_RR,CN19Sc29_bongo_eDNA,12S,RR,RR13,,,CN19S,,,,,29.0,,,,,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,Net_Filtrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN19Sc31_12_eDNA_RR,CN19Sc31_12_eDNA,12S,RR,RR14,6/3/19 18:05,06-03 transition,CN19S,0.0,WESTERN FLYER,,,31.0,MARS,12.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,2.194,CANON,0.241,0.0726,23.9503,2.21,,,,,14.3193,32.1897,,,,,,1.3153,,,,,transition,6.0,3.0,18.0,2019-06-04 01:05:00
CN19Sc31_11_eDNA_RR,CN19Sc31_11_eDNA,12S,RR,RR15,6/3/19 18:05,06-03 transition,CN19S,40.0,WESTERN FLYER,,,31.0,MARS,11.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,39.863,CANON,17.472,0.0449,25.7375,40.162,,,,,10.48,33.5485,,,,,,0.6226,,,,,transition,6.0,3.0,18.0,2019-06-04 01:05:00
CN19Sc31_10_eDNA_RR,CN19Sc31_10_eDNA,12S,RR,RR16,6/3/19 18:05,06-03 transition,CN19S,80.0,WESTERN FLYER,,,31.0,MARS,10.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,80.115,CANON,23.778,0.0371,26.0761,80.726,,,,,9.6132,33.7938,,,,,,0.4282,,,,,transition,6.0,3.0,18.0,2019-06-04 01:05:00
CN19Sc31_9_eDNA_RR,CN19Sc31_09_eDNA,12S,RR,RR17,6/3/19 18:05,06-03 transition,CN19S,110.0,WESTERN FLYER,,,31.0,MARS,9.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,108.84,CANON,27.935,0.0359,26.3,109.677,,,,,9.0016,33.9532,,,,,,0.3977,,,,,transition,6.0,3.0,18.0,2019-06-04 01:05:00
