sample_name,extraction_date,water_filt_mL,DNA_concentration_ng_uL,measurement_method
CN19Sc03_1_eDNA_JJ,20190916,900,1.44,qubit
CN19Sc03_10_eDNA_JJ,20190916,1000,16.10,nanodrop
CN19Sc03_12_eDNA_JJ,20190916,1000,68.00,nanodrop
CN19Sc03_3_eDNA_JJ,20190916,1000,4.20,nanodrop
CN19Sc03_4_eDNA_JJ,20190916,700,5.10,nanodrop
CN19Sc03_5_eDNA_JJ,20190916,1000,5.10,nanodrop
CN19Sc03_7_eDNA_JJ,20190916,1000,12.20,nanodrop
CN19Sc03_9_eDNA_JJ,20190916,1000,8.80,nanodrop
CN19Sc10_1_eDNA_JJ,20190916,1200,9.60,nanodrop
CN19Sc10_10_eDNA_JJ,20190916,1000,15.30,nanodrop
CN19Sc10_12_eDNA_JJ,20190916,750,68.00,nanodrop
CN19Sc10_2_eDNA_JJ,20190916,1000,3.60,nanodrop
CN19Sc10_3_eDNA_JJ,20190916,1000,4.50,nanodrop
CN19Sc10_4_eDNA_JJ,20190916,1000,5.00,nanodrop
CN19Sc10_5_eDNA_JJ,20190916,1000,9.00,nanodrop
CN19Sc10_7_eDNA_JJ,20190916,1000,10.20,nanodrop
CN19Sc10_9_eDNA_JJ,20190916,1200,14.10,nanodrop
CN19Sc11_10_eDNA_JJ,20190916,1100,16.10,nanodrop
CN19Sc11_5_eDNA_JJ,20190919,1000,9.00,nanodrop
CN19Sc11_7_eDNA_JJ,20190916,1000,12.20,nanodrop
CN19Sc12_1_eDNA_JJ,20190916,1000,3.10,nanodrop
CN19Sc12_10_eDNA_JJ,20190916,1000,16.60,nanodrop
CN19Sc12_12_eDNA_JJ,20190916,1000,48.50,nanodrop
CN19Sc12_2_eDNA_JJ,20190916,1000,4.00,nanodrop
CN19Sc12_3_eDNA_JJ,20190916,1000,3.00,nanodrop
CN19Sc12_4_eDNA_JJ,20190916,1000,4.40,nanodrop
CN19Sc12_5_eDNA_JJ,20190916,1000,7.60,nanodrop
CN19Sc12_7_eDNA_JJ,20190916,900,9.90,nanodrop
CN19Sc12_9_eDNA_JJ,20190916,900,11.30,nanodrop
CN19Sc13_10_eDNA_JJ,20190916,1000,17.30,nanodrop
CN19Sc13_5_eDNA_JJ,20190925,1000,6.00,nanodrop
CN19Sc13_7_eDNA_JJ,20190916,1000,3.40,nanodrop
CN19Sc15_10_eDNA_JJ,20190925,1000,16.30,nanodrop
CN19Sc15_12_eDNA_JJ,20190925,450,46.20,nanodrop
CN19Sc15_2_eDNA_JJ,20190925,1000,4.10,nanodrop
CN19Sc15_3_eDNA_JJ,20190925,1000,4.40,nanodrop
CN19Sc15_4_eDNA_JJ,20190925,1200,4.70,nanodrop
CN19Sc15_5_eDNA_JJ,20190925,1000,6.20,nanodrop
CN19Sc15_7_eDNA_JJ,20190925,1000,11.20,nanodrop
CN19Sc15_9_eDNA_JJ,20190925,1000,11.30,nanodrop
CN19Sc16_10_eDNA_JJ,20190925,1000,21.40,nanodrop
CN19Sc16_5_eDNA_JJ,20190925,1000,8.00,nanodrop
CN19Sc16_9_eDNA_JJ,20190925,1000,11.50,nanodrop
CN19Sc18_10_eDNA_JJ,20190925,1000,11.80,nanodrop
CN19Sc18_12_eDNA_JJ,20190925,1000,106.50,nanodrop
CN19Sc18_2_eDNA_JJ,20191001,1000,3.80,nanodrop
CN19Sc18_3_eDNA_JJ,20191001,1000,4.50,nanodrop
CN19Sc18_4_eDNA_JJ,20191001,1000,5.90,nanodrop
CN19Sc18_5_eDNA_JJ,20191001,1000,11.40,nanodrop
CN19Sc18_7_eDNA_JJ,20191001,1000,11.90,nanodrop
CN19Sc18_8_eDNA_JJ,20190925,1000,11.80,nanodrop
CN19Sc18_9_eDNA_JJ,20190925,1000,11.80,nanodrop
CN19Sc20_10_eDNA_JJ,20191001,1000,14.70,nanodrop
CN19Sc20_6_eDNA_JJ,20191001,1000,10.00,nanodrop
CN19Sc21_1_eDNA_JJ,20191021,1000,1.90,nanodrop
CN19Sc21_10_eDNA_JJ,20191001,1000,14.50,nanodrop
CN19Sc21_12_eDNA_JJ,20191001,750,83.40,nanodrop
CN19Sc21_2_eDNA_JJ,20191021,1000,2.00,nanodrop
CN19Sc21_3_eDNA_JJ,20191021,1000,3.90,nanodrop
CN19Sc21_4_eDNA_JJ,20191021,1000,4.30,nanodrop
CN19Sc21_5_eDNA_JJ,20191021,1000,5.00,nanodrop
CN19Sc21_6_eDNA_JJ,20191021,1000,3.30,nanodrop
CN19Sc21_9_eDNA_JJ,20191001,1000,14.10,nanodrop
CN19Sc22_2_eDNA_JJ,20191022,1000,7.30,nanodrop
CN19Sc22_4_eDNA_JJ,20191022,1000,11.70,nanodrop
CN19Sc22_8_eDNA_JJ,20191022,1000,15.40,nanodrop
CN19Sc23_10_eDNA_JJ,20191021,1000,12.60,nanodrop
CN19Sc23_6_eDNA_JJ,20191021,1000,8.80,nanodrop
CN19Sc23_8_eDNA_JJ,20191021,1000,10.20,nanodrop
CN19Sc24_04_eDNA_BT,20210224,1200,6.74,qubit
CN19Sc24_09_eDNA_BT,20210224,1000,9.31,qubit
CN19Sc25_1_eDNA_JJ,20191021,1000,2.90,nanodrop
CN19Sc25_10_eDNA_JJ,20191021,1000,16.70,nanodrop
CN19Sc25_12_eDNA_JJ,20191021,1000,51.30,nanodrop
CN19Sc25_2_eDNA_JJ,20191021,1000,3.10,nanodrop
CN19Sc25_4_eDNA_JJ,20191021,1000,4.80,nanodrop
CN19Sc25_5_eDNA_JJ,20191021,1000,7.00,nanodrop
CN19Sc25_7_eDNA_JJ,20191021,1000,8.80,nanodrop
CN19Sc25_9_eDNA_JJ,20191021,1000,12.70,nanodrop
CN19Sc26_02_eDNA_BT,20210224,1000,8.33,qubit
CN19Sc26_04_eDNA_BT,20210224,1100,9.46,qubit
CN19Sc26_09_eDNA_BT,20210224,1000,11.26,qubit
CN19Sc27_10_eDNA_JJ,20191022,1000,19.60,nanodrop
CN19Sc27_5_eDNA_JJ,20191022,1000,8.20,nanodrop
CN19Sc27_6_eDNA_JJ,20191022,1000,10.40,nanodrop
CN19Sc28_1_eDNA_RR,20191212,1000,5.60,nanodrop
CN19Sc28_10_eDNA_RR,20191210,1000,18.80,nanodrop
CN19Sc28_11_eDNA_RR,20191210,1000,24.10,nanodrop
CN19Sc28_12_eDNA_RR,20191210,1000,32.50,nanodrop
CN19Sc28_2_eDNA_RR,20191212,1000,9.60,nanodrop
CN19Sc28_3_eDNA_RR,20191212,1000,11.90,nanodrop
CN19Sc28_4_eDNA_RR,20191212,1000,12.90,nanodrop
CN19Sc28_5_eDNA_RR,20191212,1000,12.70,nanodrop
CN19Sc28_6_eDNA_RR,20191210,1000,11.20,nanodrop
CN19Sc28_7_eDNA_RR,20191210,1000,14.30,nanodrop
CN19Sc28_8_eDNA_RR,20191210,1000,12.90,nanodrop
CN19Sc28_9_eDNA_RR,20191210,1000,16.90,nanodrop
CN19Sc29_1_eDNA_RR,20191120,1000,2.80,nanodrop
CN19Sc29_10_eDNA_RR,20191120,1000,2.80,nanodrop
CN19Sc29_11_eDNA_RR,20191120,1000,9.60,nanodrop
CN19Sc29_12_eDNA_RR,20191120,1000,63.60,nanodrop
CN19Sc29_2_eDNA_RR,20191120,1000,3.00,nanodrop
CN19Sc29_3_eDNA_RR,20191120,1000,3.90,nanodrop
CN19Sc29_4_eDNA_RR,20191120,1000,3.70,nanodrop
CN19Sc29_5_eDNA_RR,20191120,1000,3.80,nanodrop
CN19Sc29_6_eDNA_RR,20191120,1000,2.00,nanodrop
CN19Sc29_7_eDNA_RR,20191120,1000,4.40,nanodrop
CN19Sc29_8_eDNA_RR,20191120,1000,6.60,nanodrop
CN19Sc29_9_eDNA_RR,20191120,1000,4.90,nanodrop
CN19Sc30_1_eDNA_RR,20191212,1000,7.50,nanodrop
CN19Sc30_10_eDNA_RR,20191212,1000,14.90,nanodrop
CN19Sc30_11_eDNA_RR,20191212,1000,16.80,nanodrop
CN19Sc30_12_eDNA_RR,20191212,1000,35.20,nanodrop
CN19Sc30_2_eDNA_RR,20191212,1000,6.90,nanodrop
CN19Sc30_3_eDNA_RR,20191212,1000,11.40,nanodrop
CN19Sc30_4_eDNA_RR,20191212,1000,12.90,nanodrop
CN19Sc30_5_eDNA_RR,20191212,1000,13.40,nanodrop
CN19Sc30_7_eDNA_RR,20191212,1000,13.20,nanodrop
CN19Sc30_8_eDNA_RR,20191212,1000,16.00,nanodrop
CN19Sc30_9_eDNA_RR,20191212,1000,13.50,nanodrop
CN19Sc31_10_eDNA_RR,20191120,1000,16.10,nanodrop
CN19Sc31_11_eDNA_RR,20191120,1000,17.30,nanodrop
CN19Sc31_12_eDNA_RR,20191120,1000,58.10,nanodrop
CN19Sc31_3_eDNA_RR,20191126,1000,2.10,nanodrop
CN19Sc31_4_eDNA_RR,20191126,1000,3.20,nanodrop
