FilterID,local_time,time_label,SAMPLING_cruise,depth,SAMPLING_platform,SC,ESP,SAMPLING_station_number,SAMPLING_station,SAMPLING_bottle,decimalLongitude,decimalLatitude,sample_type,Plates,Markers,Status,Dewar_name,Sampling_method,replicate,SAMPLING_rdepth,project_name,nitrate,fluor,density,pressure,minimumDepthInMeters,maximumDepthInMeters,start_GMT,end_GMT,temp,salinity,sigmat,spice,diss_oxygen,PAR (umol/s/m2),altitude,chlorophyll,bbp470 (count),bbp650 (count),SAMPLING_project,ESP_name,diel,month,day,hour,eventDate
CN19SESPMV1_SC05_eDNA,5/23/19 13:23,05-23 day,CN19S,37.4937,daphne,5,MV1,,,,-122.1833,36.7078,environmental,,,Filters (racks A-D),,ESP,,,,,,,,33.8328,41.1545,5/23/19 20:23,5/23/19 20:44,10.9717,33.464,25.5853,0.0948,6444.4383,7.3487,870.7284,0.455,77.1869,66.403,CANON,,day,5,23,13,5/23/19 20:23
CN19SESPMV1_SC04_eDNA,5/23/19 14:01,05-23 day,CN19S,207.6086,daphne,4,MV1,,,,-122.1859,36.7123,environmental,,,Filters (racks A-D),,ESP,,,,,,,,203.8983,211.3189,5/23/19 21:01,5/23/19 21:21,7.8939,34.0489,26.5455,0.0505,3014.0394,0.2011,678.5416,0.1225,74.9326,61.6372,CANON,,day,5,23,14,5/23/19 21:01
CN19SESPMV1_SC03_eDNA,5/23/19 14:31,05-23 day,CN19S,277.42,daphne,3,MV1,,,,-122.1856,36.7117,environmental,,,Filters (racks A-D),,ESP,,,,,,,,273.6514,281.1885,5/23/19 21:31,5/23/19 21:46,7.3878,34.1131,26.6698,0.0278,2141.6944,0.2108,611.475,0.13,75.193,61.9366,CANON,,day,5,23,14,5/23/19 21:31
CN19SESPMV1_SC58_eDNA,5/29/19 2:42,05-29 night,CN19S,17.6279,daphne,58,MV1,,,,-122.1861,36.7062,environmental,"AD,XX,AC,YY,AE","12S,COI,12S,COI,18S",Tube Extracts (racks E-G),,ESP,,,,,,,,13.8784,21.3774,5/29/19 9:42,5/29/19 10:07,12.8234,33.1916,25.0274,0.2338,8740.9927,0.1949,911.8581,2.7972,100.9675,109.2667,CANON,,night,5,29,2,5/29/19 9:42
CN19SESPKOA_SC58_eDNA,5/29/19 12:32,05-29 day,CN19S,32.5799,makai,58,KOA,,,,-122.1872,36.7141,environmental,"AD,XX,AC,YY,AE","12S,COI,12S,COI,18S",Tube Extracts (racks E-G),,ESP,,,,,,,,28.8802,36.2797,5/29/19 19:32,5/29/19 20:18,11.296,33.3426,25.4315,0.0592,8090.263,2.2795,846.5602,0.5502,83.3809,149.0871,CANON,,day,5,29,12,5/29/19 19:32
CN19SESPKOA_SC57_eDNA,5/29/19 13:47,05-29 day,CN19S,202.5248,makai,57,KOA,,,,-122.1883,36.7121,environmental,"AD,XX,AC,YY,AE","12S,COI,12S,COI,18S",Tube Extracts (racks E-G),,ESP,,,,,,,,198.9915,206.058,5/29/19 20:47,5/29/19 21:28,8.0546,34.0486,26.5216,0.0742,2867.5891,-0.433,688.2216,0.0782,78.4872,146.0477,CANON,,day,5,29,13,5/29/19 20:47
CN19SESPKOA_SC56_eDNA,5/29/19 14:50,05-29 day,CN19S,267.6256,makai,56,KOA,,,,-122.1869,36.7106,environmental,"AD,XX,AC,YY,AE","12S,COI,12S,COI,18S",Tube Extracts (racks E-G),,ESP,,,,,,,,264.0014,271.2497,5/29/19 21:50,5/29/19 22:33,7.4301,34.101,26.6542,0.0243,2118.6644,-0.444,625.7396,0.0833,78.2715,148.8699,CANON,,day,5,29,14,5/29/19 21:50
CN19SESPKOA_SC55_eDNA,5/29/19 23:17,05-29 night,CN19S,27.477,makai,55,KOA,,,,-122.1864,36.7043,environmental,"AD,XX,AC,YY,AE","12S,COI,12S,COI,18S",Tube Extracts (racks E-G),,ESP,,,,,,,,23.9996,30.9544,5/30/19 6:17,5/30/19 7:00,10.5617,33.4174,25.6208,-0.0159,7492.7593,-0.3798,937.9604,0.3254,80.2178,143.2971,CANON,,night,5,29,23,5/30/19 6:17
CN19SESPMV1_SC55_eDNA,5/30/19 1:02,05-30 night,CN19S,232.4912,daphne,55,MV1,,,,-122.1962,36.7099,environmental,"AD,XX,AC,YY,AE","12S,COI,12S,COI,18S",Tube Extracts (racks E-G),,ESP,,,,,,,,228.8915,236.0909,5/30/19 8:02,5/30/19 8:48,7.8247,34.0715,26.5738,0.0581,2638.5764,0.2546,727.6419,0.126,76.2983,65.0814,CANON,,night,5,30,1,5/30/19 8:02
CN19SESPMV1_SC54_eDNA,5/30/19 2:09,05-30 night,CN19S,282.5468,daphne,54,MV1,,,,-122.1953,36.7063,environmental,"AD,XX,AC,YY,AE","12S,COI,12S,COI,18S",Tube Extracts (racks E-G),,ESP,,,,,,,,278.9685,286.125,5/30/19 9:09,5/30/19 9:54,7.2932,34.1056,26.6773,0.0086,2150.2782,0.2734,692.8876,0.1312,75.5649,63.9748,CANON,,night,5,30,2,5/30/19 9:09
CN19SESPKOA_SC54_eDNA,5/30/19 2:24,05-30 night,CN19S,27.5159,makai,54,KOA,,,,-122.1851,36.7127,environmental,"AD,XX,AC,YY,AE","12S,COI,12S,COI,18S",Tube Extracts (racks E-G),,ESP,,,,,,,,23.7096,31.3222,5/30/19 9:24,5/30/19 10:20,11.5062,33.3497,25.3983,0.1045,8223.554,-0.4019,854.9523,1.096,90.7439,171.0467,CANON,,night,5,30,2,5/30/19 9:24
